#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Sweet Madness","Sons Of Maria,Angelika Vee",6,100,"deep tropical house, tropical house, ","Electronic","Sweet Madness",2016-09-19,03:08,72,78,15,0,59,0,10,-3,G Minor,4,2024-09-20,6HYWlf6WdwxkTnBzpCTukU,"Kontor Records",6A,DEN061600902
2,"Not Going Home (feat. Gia Koka)","DVBBS,CMC$,Gia Koka",46,109,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house, pop edm, vapor twitch, ","Electronic","Beautiful Disaster",2017-02-24,03:15,75,75,9,0,48,10,20,-6,F#/G♭ Major,4,2024-09-20,3JqjXikqS3jj8qWHs7OaLs,"Ultra Records, LLC",2B,NLZ541601286
3,"2step","Ed Sheeran,Lil Baby",6,95,"pop, singer-songwriter pop, uk pop, atl hip hop, atl trap, rap, trap","Hip Hop, Pop","Guten Morgen - Coffee Hits",2022-09-23,02:43,69,64,14,0,48,0,10,-6,E Minor,4,2024-09-20,28vvDmRip7Rj1Z8xESXF5p,"Warner Music Group - X5 Music Group",9A,GBAHS2200506
4,"AFU","CAL",30,94,"","","The Identity Crisis: Side A",2019-11-15,03:07,83,78,16,1,89,0,0,-5,E Minor,4,2024-09-20,4SHxc1WUhxVKWgEa1kLvO8,"Photo Finish Records",9A,GBKPL1973930
5,"Je ne parle pas français","Namika",51,102,"german pop","Pop","Que Walou",2018-06-01,03:00,77,52,13,0,79,0,50,-9,C Minor,4,2024-09-20,4eJqzRN15DabYK4byfWghD,"Jive",5A,DEE861800295
6,"Ghost Boy","Jacob Tillberg",44,100,"meme","Pop","Ghost Boy",2021-01-15,03:27,79,63,25,0,32,0,10,-7,E Minor,4,2024-09-20,6Sjl4KtCBxaJza3BTTXJE6,"Discover Records",9A,TCAFI2166350
7,"Like That (feat. Gucci Mane)","Doja Cat,Gucci Mane",70,106,"dance pop, pop, atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Pop","Hot Pink",2019-11-07,02:43,88,50,24,0,41,10,10,-6,E Minor,4,2024-09-20,4EivmOT13NMpNSfTKn9p4s,"Kemosabe Records/RCA Records",9A,USRC11902288
8,"Whatever","Kygo,Ava Max",78,108,"edm, pop, pop dance, tropical house","Electronic, Pop","Whatever",2024-01-19,02:58,58,78,10,0,59,0,30,-6,D#/E♭ Major,4,2024-09-20,0LMwmV37RCmBO2so0szAFs,"Kygo/RCA Records",5B,USRC12302637
9,"Start It Up","Robben Ford & The Blue Line",22,122,"electric blues, modern blues","Blues","Robben Ford & The Blue Line",1992-01-01,03:45,74,40,8,0,42,0,10,-10,A Major,4,2024-09-23,704h3vuNp2h4CHaLBZPa7v,"Blue Thumb",11B,USGR19200028
10,"3D (feat. Jack Harlow)","Jung Kook,Jack Harlow",75,108,"k-pop, deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap","Hip Hop, Pop","GOLDEN",2023-11-03,03:21,85,82,3,0,89,10,0,-3,C♯/D♭ Major,4,2024-09-20,6xGr4tVzpTX99p9Cf0hRRL,"BIGHIT MUSIC",3B,USA2P2346470
