#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Serpentine","Naïka",30,99,"","","Serpentine",2018-05-25,02:57,74,57,2,0,64,0,0,-7,A#/B♭ Minor,4,2024-10-08,2iz9n8oj5GzF6zhJgDF1gc,"Vertigo Berlin",3A,DEUM71800527
2,"Bad Girl","Sickick",36,99,"bass trap","Hip Hop","Bad Girl",2020-12-03,02:50,84,51,5,0,53,0,10,-9,A#/B♭ Major,4,2024-10-08,4zIhXWhL9yNENSAwXrkcsF,"SICK UNIVERSE CORP",6B,QZNWU2083282
3,"SOS (feat. Aloe Blacc)","Avicii,Aloe Blacc",69,100,"dance pop, edm, pop, pop dance, pop soul, r&b","Pop, Electronic, R&B","TIM",2019-06-06,02:37,80,65,27,0,38,0,10,-6,F Minor,4,2024-10-08,2x0RZdkZcD8QRI53XT4GI5,"Universal Music AB",4A,SE5R71900201
4,"Sun Don't Shine","Faydee",19,100,"","","Sun Don't Shine",2015-11-30,03:43,68,86,12,0,60,0,10,-4,C Minor,4,2024-10-08,3IYU7BkzDv774TogIeMGgX,"Buckle Up Entertainment",5A,ushm81531002
5,"No Vacancy","OneRepublic,Sebastian Yatra",1,100,"piano rock, pop, colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino","Pop, Rock, Latin","This is Spanglish",2022-11-18,03:43,69,76,8,0,59,0,10,-4,F Major,4,2024-10-08,7JqvwVf5toC2FBnDAs4x4V,"UME - Global Clearing House",7B,USUM71704882
6,"Drive Slow","Carly Paige",21,101,"la pop","Pop","Drive Slow",2018-02-09,02:56,87,53,48,0,50,0,10,-8,A#/B♭ Major,4,2024-10-08,6pu3UrqCDnRPzWXNLGqVDk,"Carly Paige",6B,QZ5AB1845025
7,"Bottle Tops","RITUAL,Mononoke",34,102,"indie electropop, vapor soul, ","Pop, R&B","Every Night Another But Not You",2016-10-28,04:37,40,40,27,0,9,10,10,-11,E Minor,4,2024-10-08,0DU88MhtGfzyCvt3YZijfL,"Universal-Island Records Ltd.",9A,GBUM71604603
8,"Ce qui nous rend fous","Alliel",19,103,"","","Ce qui nous rend fous",2020-08-27,02:52,76,59,49,0,74,0,30,-6,D Minor,4,2024-10-08,4j4xw9WNy4u3AHWzKEHOUp,"Parlophone (France)",7A,FR9W12014196
9,"Misery","Maroon 5",2,103,"pop","Pop","Hits en 2010",2022-03-30,03:36,70,82,0,0,72,0,0,-5,E Minor,4,2024-10-08,76E9in8P2yNx2FI2SliL3U,"UME - Global Clearing House",9A,USUM71015280
10,"Toothbrush","DNCE",65,105,"dance pop, pop","Pop","DNCE",2016-11-18,03:51,56,79,12,0,83,10,40,-6,G Major,4,2024-10-08,7ciLq0Cip0yxiz6KANrOUq,"Joseph Jonas/Republic Records",9B,USUM71516725
11,"edamame","bbno$,Rich Brian",6,106,"canadian hip hop, dark trap, meme rap, indonesian hip hop","Hip Hop","edamame",2021-07-24,02:13,82,85,2,0,68,10,0,-5,E Minor,4,2024-10-08,1uMHCAyGmHqyygoNRuo7MV,"bbno$, Rich Brian appears courtesy of 88Rising",9A,QMUY42100151
12,"Here","Shallou",43,107,"electropop, indie electropop, vapor soul","Pop, R&B","Here",2021-11-12,03:12,64,56,75,21,24,0,10,-10,G Major,4,2024-10-08,6HAVjFro6OKMcY2xHOP0l7,"FADER Label",9B,US4HB2100387
13,"Bleeding Love","VAX",38,107,"","","Bleeding Love",2019-03-22,03:21,73,68,42,0,52,0,10,-6,D Major,4,2024-10-08,2PhsCrrNsbudxwhPsveSyd,"VAX",10B,SE5W31800109
14,"Thinkin Bout You","Ciara",46,107,"dance pop, hip pop, pop, r&b, urban contemporary","Pop, R&B, Hip Hop","Beauty Marks",2019-05-10,03:48,89,73,12,1,81,0,10,-5,F#/G♭ Minor,4,2024-10-08,1HYc0erDd8nWnqQOy6gIq1,"Beauty Marks Entertainment",11A,ZZOPM1900972
15,"Something About You","Elderbrook,Rudimental",42,107,"uk dance, pop dance, uk funky","Electronic","Why Do We Shake In The Cold?",2020-09-18,03:23,77,61,56,0,66,10,10,-6,F#/G♭ Minor,4,2024-10-08,46cDt5MQZAggsaYmAcuYhq,"Parlophone UK",11A,GBAYE1900685
16,"Talk Later","The Vamps",30,108,"boy band, pop","Pop","Night & Day (Day Edition)",2018-07-13,03:01,91,47,2,0,73,10,0,-9,G Major,4,2024-10-08,4qzSuNN7gBDdsQRjrohKpE,"EMI",9B,GBUM71801471
17,"x2","Anne-Marie",42,110,"pop","Pop","Therapy",2021-07-23,02:42,87,58,10,0,24,0,10,-8,F#/G♭ Minor,4,2024-10-08,0k79twDYBMpqqjVLuEnYkh,"Atlantic Records/Asylum",11A,GBAHS2100219
