#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"I Wish (feat. T.I.)","Cher Lloyd,T.I.",48,92,"dance pop, pop, post-teen pop, talent show, atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Pop","Sorry I'm Late",2014-05-23,03:32,62,81,6,0,68,10,80,-6,C Minor,4,2024-10-22,4trx1lgbQ9FtrI5V9Y8C5Y,"Epic",5A,USSM11304371
2,"Starboy - Kygo Remix","The Weeknd,Daft Punk,Kygo",49,93,"canadian contemporary r&b, canadian pop, pop, electro, filter house, rock, edm, pop dance, tropical house","R&B, Pop, Electronic, Hip Hop, Rock","Starboy (Kygo Remix)",2016-11-11,04:04,75,61,21,0,41,0,10,-7,A Minor,4,2024-10-22,6LJFgCd9wU2VptHEwz2Wl3,"Universal Republic Records",8A,USUG11601353
3,"Company","Justin Bieber",73,95,"canadian pop, pop","Pop","Purpose (Deluxe)",2015-11-13,03:28,56,80,13,0,42,0,0,-5,E Minor,4,2024-10-22,61uyGDPJ06MkxJtHgPmuyO,"RBMG/Def Jam",9A,USUM71516762
4,"Hide and Seek","Steve Void,BEAUZ,Carly Paige",26,97,"pop edm, slap house, la pop","Pop, Electronic","Hide and Seek",2017-12-01,03:08,66,85,35,0,42,0,10,-4,B Minor,4,2024-10-22,6owpesCIq1ScCeFxKcdV5K,"Fruits Music",10A,GBSMU4474795
5,"Fighter","TALI",43,94,"","","Fighter",2024-01-12,02:55,55,68,30,0,43,0,10,-4,F#/G♭ Minor,4,2024-10-22,6ac0GZMtGXywMyyNJg7EAP,"Bel Air",11A,FR9W12401106
6,"Tanzen","Clueso",43,99,"german pop, german singer-songwriter","Pop","Tanzen",2020-04-24,02:47,89,50,30,0,80,0,0,-6,A Minor,4,2024-10-22,5CVO4zkI7Q6qBalTtI4meW,"Epic Local",8A,DEE862000452
7,"Who's In Your Head","Jonas Brothers",52,101,"boy band, pop","Pop","Who's In Your Head",2021-09-17,03:03,70,78,0,0,82,10,0,-5,F Major,4,2024-10-22,5nhW8I46uDE5sc5ouEbzao,"Republic Records",7B,USUG12103657
8,"Nobody","Niia",12,102,"","","Nobody",2017-04-28,04:08,73,52,48,0,56,0,10,-7,F Major,4,2024-10-22,3x8VwAMIGKN6UTmd9cdvQb,"Atlantic Records",7B,USAT21700303
9,"Misery","Maroon 5",2,103,"pop","Pop","Hits en 2010",2022-03-30,03:36,70,82,0,0,72,0,0,-5,E Minor,4,2024-10-22,76E9in8P2yNx2FI2SliL3U,"UME - Global Clearing House",9A,USUM71015280
10,"Capricorn - Live Acoustic","Elderbrook",22,104,"uk dance","Electronic","Old Friend / Capricorn (Live Acoustic)",2019-03-15,02:51,76,20,59,0,34,0,0,-12,C Major,4,2024-10-22,5bzEntzYD3NlqNXBnpo2yv,"FFRR",8B,GBAYE1900205
