#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Spin With You (feat. Jeremy Zucker)","Emma Sameth,WOLFE,Jeremy Zucker",39,96,"la pop, alt z, electropop, pop","Pop","Spin With You (feat. Jeremy Zucker)",2018-12-19,03:32,82,45,72,0,42,20,10,-7,F Minor,4,2021-08-09,1m7XbKhOvJst478ms8yUrr,"Parametric",4A,USAT21813024
2,"Call On Me","Starley",34,98,"aussietronica","Electronic","Call On Me",2016-10-13,02:41,79,65,13,0,50,0,0,-7,C Major,4,2021-08-09,52tbWCKaMaSLpYNw71XO9l,"Epic",8B,AUCN31208903
3,"Cellophane","Sara Jackson-Holman",25,92,"deep acoustic pop","Pop","When You Dream",2010-05-25,03:07,79,44,77,26,74,0,0,-10,G Major,4,2021-08-09,7LQlKf3qNDu4w5zo8fQWeZ,"Expunged Records",9B,USE6C1000003
4,"Breathe","Olly Alexander (Years & Years)",73,92,"dance pop, gauze pop, pop, pop dance, uk pop","Pop, Electronic","Take Shelter",2014-01-01,03:53,75,49,22,0,42,0,10,-7,A#/B♭ Major,4,2021-08-09,267nfLfaSSDa9ivHncHynh,"Polydor Records",6B,GBUM71403184
5,"The Other - Shallou Remix","Lauv,Shallou",0,100,"pop, electropop, indie electropop, vapor soul","Pop, R&B","I met you when I was 18. (the extras)",2018-05-30,03:30,57,57,5,0,36,10,20,-7,E Minor,4,2021-08-09,37c57m8MqCXznnq9Psy70l,"Lauv",9A,TCACZ1708146
6,"Trouble","Iggy Azalea,Jennifer Hudson",41,106,"australian hip hop, dance pop, pop, r&b, urban contemporary","Hip Hop, Pop, R&B","Reclassified",2014-10-24,02:46,96,70,9,0,67,10,0,-4,G Major,4,2021-08-09,3MPZOtMvBoxAIRUkgux87d,"EMI",9B,GBUM71405575
7,"911","Lady Gaga",61,116,"art pop, dance pop, pop","Pop","Chromatica",2020-05-29,02:52,79,81,3,0,42,0,50,-5,F Major,4,2021-08-09,6qI0MU175Dk2DeoUjlrOpy,"Interscope",7B,USUM72004307
8,"Trip","Ella Mai",71,80,"r&b, rap, uk contemporary r&b, urban contemporary","R&B, Hip Hop","Ella Mai",2018-10-12,03:33,48,61,22,0,36,10,10,-6,B Minor,4,2021-08-09,6CTWathupIiDs7U4InHnDA,"10 Summers / Interscope PS",10A,USUM71810720
9,"Come Together - Remastered 2009","The Beatles",76,165,"british invasion, classic rock, merseybeat, psychedelic rock, rock","Rock","Abbey Road (Remastered)",1969-09-26,04:19,53,38,3,25,19,0,0,-12,A Minor,4,2021-08-09,2EqlS6tkEnglzr7tkKAAYD,"EMI Catalogue",8A,GBAYE0601690
10,"Tricky","Shoffy,Sabrina Carpenter",38,90,"chill pop, la pop, pop","Pop","Flash",2020-03-13,02:31,83,47,59,0,87,20,10,-7,A Minor,4,2021-08-09,5xXGzRBNC2xUZIjYq11cAN,"Otherground Records",8A,QZC5P1800134
11,"My House","Flo Rida",74,94,"dance pop, miami hip hop, pop, pop rap","Pop, Hip Hop","My House",2015-04-07,03:12,69,70,2,0,74,0,10,-5,G Minor,4,2021-08-09,6Knv6wdA0luoMUuuoYi2i1,"Poe Boy/Atlantic",6A,USAT21500384
12,"Miss Right","Ne-Yo",45,180,"dance pop, pop, r&b, urban contemporary","Pop, R&B, Hip Hop","R.E.D. (Deluxe Edition)",2012-01-01,03:49,63,51,6,0,62,10,10,-8,D Minor,4,2021-08-09,0sEFbS6At6RD9AbPAl3tCg,"Island Def Jam/Motown",7A,USUM71212365
13,"IDGAF","Dua Lipa",77,97,"dance pop, pop, uk pop","Pop","Dua Lipa (Deluxe)",2017-06-02,03:37,84,54,4,0,51,0,0,-6,G Major,4,2021-08-09,76cy1WJvNGJTj78UqeA5zr,"Warner Records",9B,GBAHT1600301
