#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Get Lucky","Naughty Boy,Tanika",12,180,"uk contemporary r&b, ","R&B","Hotel Cabana (Deluxe Version)",2014-01-01,04:17,47,66,11,0,59,10,0,-9,F#/G♭ Minor,4,2024-05-16,015Y3MiBzCNre0K7UY5tvE,"Virgin Records Ltd",11A,GBUM71304156
2,"Berzerk","Madilyn Bailey",21,87,"channel pop, viral pop","Pop","The Covers, Vol. 6",2013-09-13,03:25,59,30,73,0,56,0,0,-9,D Minor,4,2024-05-16,4mtvGH6GqIQcJ3QixJxm0V,"Keep Your Soul Records",7A,TCABQ1358952
3,"Colors","Black Pumas",65,180,"retro soul","R&B","Black Pumas",2019-06-21,04:06,39,69,9,0,56,0,10,-7,C♯/D♭ Minor,4,2024-05-16,6d4FWjx72iuRWzn1HwywLK,"ATO Records",12A,USATO1900023
4,"Thong Song","Amber Mark",38,98,"alternative r&b, indie soul, nyc pop","R&B, Pop","Thong Song",2020-08-21,03:31,68,42,31,0,29,10,10,-10,F#/G♭ Minor,4,2024-05-16,52dyJ3VDZFuvTKH95UGwa2,"EMI",11A,GBUM72002659
5,"Yeah! (feat. Lil Jon & Ludacris)","USHER,Lil Jon,Ludacris",84,105,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary, crunk, dirty south rap, old school atlanta hip hop, pop rap, southern hip hop, trap, hip hop","Hip Hop, R&B, Pop","Confessions (Expanded Edition)",2004-03-23,04:10,89,79,2,0,58,10,0,-5,D Major,4,2024-05-16,5rb9QrpfcKFHM1EUbSIurX,"LaFace Records",10B,USAR10301423
6,"Love Is Found","Sade",45,90,"british soul, sophisti-pop","R&B, Pop","The Ultimate Collection",2011-05-09,04:08,76,40,3,48,4,10,10,-9,A#/B♭ Minor,4,2024-05-16,5Mxq7vByHJGcKLsSb85J8G,"RCA Records Label",3A,GBARL1100295
7,"Glow","Susan H",26,192,"","","Glow",2019-12-27,02:57,61,57,70,32,39,0,10,-10,C Minor,4,2024-05-16,03DcHsTJjJDLKuNkRW2WLi,"streamscancometrue",5A,NL65X1900021
8,"Truly Madly Deeply","Music Travel Love,Jonah Baker",44,95,"canadian contemporary country, acoustic cover","Pop, Country","Truly Madly Deeply",2023-01-03,03:24,76,52,37,0,56,0,10,-7,C Major,4,2024-05-16,5Do12hHsQ1tu5R0UfupZtX,"Music Travel Love LLC",8B,TCAGS2208964
9,"Slow Low","Jason Derulo",51,185,"dance pop, pop","Pop","Slow Low",2023-06-08,03:04,49,77,5,0,52,0,40,-6,F#/G♭ Minor,4,2024-05-16,4MQXkF0FjdlqEHy73IZfoO,"Atlantic Records",11A,USAT22305247
10,"Shoop","Salt-N-Pepa",70,97,"girl group, golden age hip hop, hip hop, hip pop, old school hip hop, queens hip hop","Pop, Hip Hop","Very Necessary",1993-10-12,04:08,94,67,9,0,79,20,0,-7,C Major,4,2024-05-16,0Pu71wxadDlB8fJXfjIjeJ,"Mercury Records",8B,USWWW0126118
