#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Float On","Phil Good",34,102,"la pop","Pop","Float On",2021-02-17,02:56,69,58,10,0,29,0,0,-5,C♯/D♭ Minor,4,2024-04-20,2ymifjFHCi1myYA58sHI4v,"Elektra (NEK)",12A,USAT22100342
2,"Na Na","Trey Songz",60,97,"dance pop, r&b, southern hip hop, trap, urban contemporary","Pop, R&B, Hip Hop","Trigga",2014-07-01,03:51,67,48,33,0,24,0,10,-6,A Minor,4,2024-04-20,5maiP9UMnTSgoxPX8X3bdz,"Atlantic Records",8A,USAT21304769
3,"Times Square","Neon Dreams",34,94,"canadian pop","Pop","Times Square",2020-12-11,03:18,48,37,92,0,36,10,10,-9,D#/E♭ Major,4,2024-04-20,59r0BoIgI2yE4fQj4m9PTa,"Dreaming Out Loud",5B,CAEAZ1700044
4,"Your Heart Sounds Like","Fhin",18,83,"electro-pop francais, new french touch","R&B, Electronic","A Crack in the Eyes",2016-06-17,04:04,72,35,69,27,28,0,30,-14,B Minor,4,2024-04-20,3FngzE48Ru7wahPaSEtp2m,"Delicieuse Records",10A,FR9W11513529
5,"Africa (Acoustic)","Tyler Ward,Lisa Cimorelli",45,89,"acoustic cover, viral pop, ","Pop","he said. she said.",2019-05-17,03:18,46,36,83,0,32,0,0,-8,D#/E♭ Minor,4,2024-04-20,20MrNFQt4R0jIsdzKNFd0v,"Tyler Ward Music",2A,GBDMT1900062
6,"Borderline","Jordan Rakei",52,92,"indie soul, neo r&b","R&B","Origin (Deluxe Edition)",2020-03-13,04:15,55,60,34,0,23,0,0,-7,F Major,4,2024-04-20,5rcGQIrv6eUIyCBfWga363,"Ninja Tune",7B,GBCFB2000077
7,"Forgive Me","Sofi Tukker,Mahmut Orhan",48,100,"edm, turkish deep house, turkish edm","Electronic","WET TENNIS",2022-04-29,03:45,62,69,17,0,46,10,0,-8,F Minor,4,2024-04-20,5T6dWZIl0ePMxWUzKQbhji,"Ultra Records, LLC",4A,QM37X2100014
8,"Ice","Pablo Nouvelle,Kylan Road",6,186,"swiss indie, ","Electronic","Ice (L1ke & Repost Remix)",2022-05-27,02:58,65,57,25,1,48,0,10,-9,G#/A♭ Major,4,2024-04-20,47Vdj0Eva672Q8c2CNgZ0X,"Armada Chill",4B,NLF711600044
9,"Blinding Lights","Loi",60,73,"","","Blinding Lights",2021-09-17,02:27,49,18,92,0,54,0,10,-11,A#/B♭ Minor,3,2024-04-20,0cQJGoRki2avKVodXEmr0d,"VOLKSMUSIC/WM Germany",3A,DEA622100968
10,"Complicated","ABY iO",24,78,"","","Complicated",2022-04-22,03:01,47,40,60,0,33,0,10,-9,E Major,4,2024-04-20,7inK3ZUdwZ1YhXxq6RuGgD,"Local Music Firm",12B,SE62I2200101
11,"The Usual","Shannon Jae Prior,Jesse Scott",32,88,"","","The Usual",2019-11-03,03:44,66,69,32,0,29,0,0,-5,C Minor,4,2024-04-20,0eMT49Cm6AO7Jc6t7ZHv5C,"Shannon Jae Prior",5A,TCAFJ2165321
12,"68","Louis Futon",28,94,"future bass, vapor twitch","Electronic","Way Back When",2019-02-22,02:54,62,74,44,0,23,10,60,-5,F Minor,4,2024-04-20,6IuLiHUhil1h1hpXYULh3s,"Louis Futon",4A,USA2P1886133
13,"Wait For A Minute","Tyga,Justin Bieber",49,100,"hip hop, pop rap, rap, southern hip hop, trap, canadian pop, pop","Pop, Hip Hop","Wait For A Minute",2013-01-01,03:27,59,34,9,0,42,10,10,-11,E Minor,4,2024-04-20,1AcJJerSHcXCnevx9oSoWe,"Cash Money Records/Motown Records",9A,USCM51300919
14,"Be There Soon","Elderbrook",24,97,"uk dance","Electronic","Travel Slow",2015-08-21,03:25,87,38,47,59,61,0,10,-13,C♯/D♭ Minor,4,2024-04-20,7fbB70umrxlRbbh0mYCAHG,"Black Butter Records",12A,GBMKA1486411
15,"Trade it for the Night","HAEVN",0,93,"dutch pop","Pop","Holy Ground",2022-06-24,04:50,75,54,22,11,29,0,10,-8,F#/G♭ Minor,4,2024-04-20,4LdRWo7QQe3FVqpOZGTzP1,"HAEVN Music",11A,NLZ292200066
16,"empty crown","YAS",44,84,"","","empty crown",2019-04-05,03:34,43,48,37,8,8,0,0,-6,G#/A♭ Minor,4,2024-04-20,5j4hgym3SUadjFieaAIVw0,"bitbird",1A,NLRD51632280
17,"All Around Me","Bahari,Cody Lovaas",28,76,"alt z, la pop","Pop","All Around Me",2021-12-10,03:25,73,25,49,0,37,0,0,-10,A#/B♭ Minor,4,2024-04-20,1fdcacZgERIC8LBCFdtj6A,"Epic",3A,USSM12108676
18,"To Die For","Sam Smith",58,172,"pop, uk pop","Pop","To Die For",2020-02-14,03:13,48,36,83,0,31,0,10,-8,C Major,4,2024-04-20,2ZTYlnhhV1UAReg7wIGolx,"PLG - Capitol",8B,GBUM71906661
19,"The Half","Ruben",41,90,"norwegian pop","Pop","Melancholic",2019-05-03,02:44,62,65,2,0,35,0,10,-7,D Major,4,2024-04-20,7K3ToTmK5P1z0QK9sByc09,"Universal Music AS",10B,NOKAW1808020
20,"Pause","Eddy de Pretto,Yseult",55,189,"french pop, french rock, nouvelle chanson francaise, pop quebecois, r&b francais","Pop, Rock, World/Traditional, Electronic, Latin","À TOUS LES BÂTARDS",2021-09-01,03:05,39,34,90,0,27,10,10,-11,E Minor,4,2024-04-20,57TwkG6mUvWDZsEqARyeI2,"Universal Music Division Virgin Music",9A,FRUM72101340
21,"Little Bit of You","Kevin Garrett",37,90,"nyc pop, pittsburgh indie","Pop, Rock","False Hope",2017-03-02,04:33,65,33,59,9,26,10,0,-11,F#/G♭ Major,4,2024-04-20,6vb40FRWv3PNK7eqBHXUFz,"Kevin Garrett",2B,USCGH1734569
22,"Lonely Star","Oh Wonder",0,84,"electropop, indie poptimism, pov: indie","Pop","Lonely Star",2020-04-03,03:57,49,28,88,2,21,20,0,-16,C♯/D♭ Minor,4,2024-04-20,5v7R1oGmAtsUFHJg66awep,"Universal-Island Records Ltd.",12A,GBUM72001306
23,"Journey","Tenno",41,140,"japanese chillhop","Electronic","Journey",2019-06-03,02:49,52,26,78,84,8,0,10,-15,G Major,4,2024-04-20,2pAPo7r9woX5AwLDNzAgaV,"Tenno",9B,GBSMU6427849
24,"willow","Taylor Swift",69,81,"pop","Pop","evermore",2020-12-10,03:34,39,58,84,0,55,10,10,-9,G Major,4,2024-04-20,3Uo7WG0vmLQ07WB4BDwy7D,"Taylor Swift",9B,USUG12004699
25,"Wrong Person","Naylon",13,90,"","","Wrong Person",2024-01-19,02:35,56,43,31,0,30,10,10,-9,F Major,4,2024-04-20,6S5ARBIH6MMtzUDVMwzdbn,"Naylon",7B,QZLBC2336345
26,"Aliens Need Love Too","Phlake,Mercedes the Virus",28,108,"danish pop, scandinavian r&b, ","Pop, R&B","The Illegal Download Of Your Soul",2020-05-15,04:14,58,43,70,0,28,0,10,-6,G#/A♭ Minor,3,2024-04-20,23OQAJVJ0VqXYqveHZRUyv,"Phlake Mansion",1A,DK4YA2007802
27,"Into You","Jack Hawitt",23,100,"uk pop","Pop","Into You",2019-07-01,03:21,64,18,92,0,20,0,10,-13,G#/A♭ Minor,4,2024-04-20,57so0YWFRbEXi5MTUxOqQo,"Jack Hawitt",1A,TCAEH1958575
28,"Fear of the Water","SYML",60,93,"modern indie pop","Pop","Hurt for Me",2016-11-18,04:05,46,21,95,88,15,0,10,-18,G Minor,4,2024-04-20,3jVniYVNCrwQvvWJpReosr,"Nettwerk Music Group",6A,TCACQ1628747
29,"On Our Knees (feat. R.O)","Konoba,R.O",47,87,"belgian pop","Pop","Smoke & Mirrors",2017-01-20,04:37,59,34,86,3,27,0,20,-10,C♯/D♭ Minor,4,2024-04-20,2HCgcgN4PA0xr2ZqtsBpPb,"Konoba",12A,BEDY11500005
30,"Watermelon Sugar","TENDER",32,156,"uk alternative pop, vapor soul","Pop, R&B","Watermelon Sugar",2021-04-22,03:34,65,28,4,20,19,10,20,-14,G Minor,4,2024-04-20,3HuDP04EGt9J2aOYMo1cp0,"Empty Glass",6A,FR59R2179225
31,"One More Light","Linkin Park",2,168,"alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock","Papercuts",2024-04-12,04:15,43,21,89,0,17,0,0,-11,G#/A♭ Major,4,2024-04-20,0IgCDTxN2YmfyQ1EoPepLn,"Warner Records",4B,USWB11700234
