#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Borderline","Jordan Rakei",52,92,"indie soul, neo r&b","R&B","Origin (Deluxe Edition)",2020-03-13,04:15,55,60,34,0,23,0,0,-7,F Major,4,2024-06-08,5rcGQIrv6eUIyCBfWga363,"Ninja Tune",7B,GBCFB2000077
2,"Wait For A Minute","Tyga,Justin Bieber",49,100,"hip hop, pop rap, rap, southern hip hop, trap, canadian pop, pop","Pop, Hip Hop","Wait For A Minute",2013-01-01,03:27,59,34,9,0,42,10,10,-11,E Minor,4,2024-06-08,1AcJJerSHcXCnevx9oSoWe,"Cash Money Records/Motown Records",9A,USCM51300919
3,"Turn The Lights Down","Cavalcade",20,92,"","","Turn The Lights Down",2015-07-01,03:17,69,41,44,0,26,0,10,-7,E Major,4,2024-06-08,6Dd2co4OMQJgNoRYyVnw9W,"CRS/L2NZ",12B,AUW631100716
4,"Blinding Lights","Loi",17,73,"","","Blinding Lights",2021-09-17,02:27,49,18,92,0,54,0,10,-11,A#/B♭ Minor,3,2024-06-08,6vr379vKR3Fih1Rn8CF6Qr,"VOLKSMUSIC/WM Germany",3A,DEA622100968
5,"WALLOWS","Tommy Docherty",45,80,"","","WALLOWS",2022-08-18,04:16,39,38,70,0,22,10,0,-13,G#/A♭ Minor,4,2024-06-08,5e86PEU4ZXAhzGoeQPfCDf,"Universal Music Polska Sp. z o.o. Distributed Labels",1A,PLUM72200627
6,"Selfish","Justin Timberlake",52,88,"dance pop, pop","Pop","Everything I Thought It Was",2024-03-15,03:49,69,54,7,3,38,0,0,-7,C♯/D♭ Major,4,2024-06-08,5GSYbwIInbmPvNRyl7nDpR,"RCA Records Label",3B,USRC12400001
7,"6's to 9's - Analog Sessions","Big Wild,Rationale",43,96,"vapor soul, uk contemporary r&b","R&B","Superdream: Analog Sessions",2019-10-04,03:34,72,40,76,0,17,0,0,-7,F#/G♭ Major,4,2024-06-08,2noMjX8RXQpegZnmQWe60B,"Counter Records",2B,GBCFB1900227
8,"Tainted Love","Trinix,Queen D",66,90,"bass trap, new french touch, ","Hip Hop, Electronic","Tainted Love",2023-01-30,03:04,68,65,21,0,41,0,40,-8,A#/B♭ Major,4,2024-06-08,3ponDZeMH4ONWpPCyfrJ5L,"Inside Records",6B,FXQ892300002
9,"Angel Pt. 2","JVKE,Jimin,Charlie Puth,Muni Long,Fast & Furious: The Fast Saga",40,85,"modern indie pop, pov: indie, singer-songwriter pop, k-pop, pop, viral pop, indie r&b, soundtrack","R&B, Pop, Easy listening","Angel Pt. 2 (Acoustic Version)",2023-07-13,02:56,57,64,19,0,36,10,0,-7,C♯/D♭ Major,4,2024-06-08,2q6GfDEbNUwJENX6EZLK4Q,"APG Inc – FF10",3B,QZVFR2301435
10,"Don't Worry About Me - Aquilo Remix","Frances,Aquilo",16,75,"indie anthem-folk, neo-singer-songwriter, uk pop, vapor soul","Folk/Acoustic, Pop, R&B","Don't Worry About Me (Remixes)",2016-06-20,03:56,60,27,70,2,21,0,0,-16,C♯/D♭ Major,4,2024-06-08,54wnaa9c6KDrAYPyCMSTyq,"Capitol",3B,GBUM71602293
11,"Spark","Ed Sheeran",50,172,"pop, singer-songwriter pop, uk pop","Pop","- (Deluxe)",2023-05-05,03:34,56,59,75,0,40,0,0,-7,C Minor,4,2024-06-08,26J3f0d3ZuN7g66xBdey8o,"Atlantic Records UK",5A,GBAHS2201311
12,"Gone","Phlake,Alina Baraz",37,140,"danish pop, scandinavian r&b, etherpop","Pop, R&B","Weird Invitations",2017-10-06,03:34,51,25,95,0,19,0,10,-10,F Minor,3,2024-06-08,1bTznoPGxp3ygLTHReQtIh,"Sony Music Entertainment",4A,DKADG1700264
13,"Cola - Elderbrook Chilled Mix","CamelPhat,Elderbrook",25,90,"deep tech house, house, progressive house, uk dance","Electronic","Cola (Chilled Mixes)",2017-11-10,02:52,60,33,75,1,39,10,20,-12,E Major,1,2024-06-08,31s5sxknCQOld8PItLYvoI,"Big Beat/Defected Records",12B,GBCPZ1712293
14,"exclusive","clear eyes,slenderbodies",25,90,"vapor soul","R&B","dreaming of flying",2022-05-08,03:11,70,36,88,15,45,20,10,-12,B Minor,4,2024-06-08,6VtJuDrV8YbqNpQkfMtnpa,"clear eyes",10A,QZN882208846
15,"Intoxicated","Ashley DuBose",27,87,"minneapolis indie","Rock","Be You",2015-03-10,04:39,50,37,68,0,56,0,10,-6,E Major,4,2024-06-08,4InLm5a9Qtkru6YxEjM4Qc,"Ashley DuBose",12B,TCACE1517235
16,"Marvins Room","Conor Maynard",19,171,"post-teen pop, talent show, uk pop, viral pop","Pop","Vegas Girl",2012-07-24,03:32,45,25,95,0,29,0,10,-12,F Minor,3,2024-06-08,1EjmPUwTvR5UMQ3bPaIVg0,"Parlophone UK",4A,GBAYE1200831
17,"California King","D.B. Ricapito",29,172,"","","California King",2018-01-12,03:15,67,52,57,0,72,0,10,-6,E Minor,4,2024-06-08,180OrhCzFdX7Pyhri6AerI,"Cheiron Records",9A,uscgh1812192
18,"Little Bit of You","Kevin Garrett",0,90,"nyc pop, pittsburgh indie","Pop, Rock","False Hope",2017-03-02,04:33,66,33,59,9,26,10,0,-11,F#/G♭ Major,4,2024-06-08,3mlXW9R2E7vVlhoIkkyfLg,"Kevin Garrett",2B,USCGH1734569
19,"Poison","NEZZA",27,96,"","","Poison",2022-10-28,02:44,72,58,3,0,65,20,30,-5,C♯/D♭ Major,4,2024-06-08,2lYpy9kTn2sVE6s3UxsR6Q,"Virgin Music Latin / UNLSTD MUSIC LLC",3B,QZTAN2200011
20,"Trade it for the Night","HAEVN",22,93,"dutch pop","Pop","Holy Ground",2022-06-24,04:50,75,54,22,11,29,0,10,-8,F#/G♭ Minor,4,2024-06-08,1mpLBVRBlXo0bo2uD6vLOa,"Nettwerk Music Group Inc.",11A,NLZ292200066
21,"Chunks","Phlake",34,88,"danish pop, scandinavian r&b","Pop, R&B","Weird Invitations",2017-10-06,03:31,66,57,29,0,48,20,10,-7,C♯/D♭ Minor,4,2024-06-08,3lFCbvyrJ7soEgTjIkELMT,"Sony Music Entertainment",12A,DKADG1700183
22,"Complicated","ABY iO",24,78,"","","Complicated",2022-04-22,03:01,47,40,60,0,33,0,10,-9,E Major,4,2024-06-08,7inK3ZUdwZ1YhXxq6RuGgD,"Local Music Firm",12B,SE62I2200101
23,"Where Were You In The Morning?","Shawn Mendes",55,88,"canadian pop, pop, viral pop","Pop","Shawn Mendes",2018-05-25,03:20,71,52,56,0,45,0,10,-7,G Major,4,2024-06-08,376Gg7Oxo5C5jUWDWpVXeI,"Island Records",9B,USUM71804952
24,"Ask For It","Future Animals",36,92,"scandipop","Pop","Ask For It",2017-09-29,03:12,87,49,9,0,35,20,10,-9,D Minor,4,2024-06-08,34MTgq4S4UPdz3zxgc9xAm,"Universal Music A/S",7A,GBKPL1788796
25,"Be There Soon","Elderbrook",24,97,"uk dance","Electronic","Travel Slow",2015-08-21,03:25,87,38,47,59,61,0,10,-13,C♯/D♭ Minor,4,2024-06-08,7fbB70umrxlRbbh0mYCAHG,"Black Butter Records",12A,GBMKA1486411
26,"Little Lover","Nick Broadhurst",0,91,"","","Little Lover",2018-03-09,03:59,51,28,69,0,19,0,10,-8,E Minor,4,2024-06-08,4UCOWUXBk825ZsWuWBKnTg,"AntiFragile Music",9A,AUZN31500315
27,"The Other Side","Axel Mansoor",26,87,"la pop","Pop","The Other Side",2019-02-01,03:02,68,64,55,0,40,0,10,-7,D Minor,4,2024-06-08,3TdfoKU4NFq21j65ltPTYM,"Axel Mansoor",7A,US7VG1879857
28,"To Die For","Sam Smith",58,172,"pop, uk pop","Pop","To Die For",2020-02-14,03:13,48,36,83,0,31,0,10,-8,C Major,4,2024-06-08,2ZTYlnhhV1UAReg7wIGolx,"PLG - Capitol",8B,GBUM71906661
