#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Last Time","Sickick",36,100,"bass trap","Hip Hop","Last Time",2019-12-20,03:19,81,86,44,0,50,10,50,-5,F Major,4,2024-06-29,669Ev1r4GnyfxCJajgjyw5,"SICK UNIVERSE CORP",7B,QZK6P1957934
2,"Sixteen Tons","Tom Jones",24,107,"adult standards, british invasion","Easy listening, Rock","Green, Green Grass Of Home",1967-03-01,03:08,60,36,75,0,59,20,10,-14,C Major,4,2024-06-29,0ccg3zeLoxwFa4c5hM6hCI,"UMC (Universal Music Catalogue)",8B,GBF076700280
3,"Like I Can","Sam Smith",29,100,"pop, uk pop","Pop","In The Lonely Hour (Drowning Shadows Edition)",2015-11-06,02:47,66,60,36,0,54,0,10,-7,G Minor,4,2024-06-29,2bzNyTh114AvcAzYQlw23f,"PLG - Capitol",6A,GBUM71308834
4,"Cool (feat. Marc E. Bassy, Gucci Mane)","Felix Jaehn,Marc E. Bassy,Gucci Mane",38,95,"edm, german dance, pop dance, tropical house, uk dance, indie pop rap, atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Electronic","I",2018-02-16,03:10,62,75,6,0,31,10,0,-6,D Major,4,2024-06-29,3Ij7tqW9jVJ41dG06MZkFU,"Virgin",10B,DEUM71723039
5,"Testify","Robin Thicke",35,180,"dance pop, neo soul, pop rap, r&b, urban contemporary","Pop, R&B, Hip Hop","Testify",2018-12-12,03:20,67,42,74,0,57,0,10,-9,G Major,4,2024-06-29,3KUcJryOB8pwkBO3ffzzZD,"Thicke Music / EMPIRE",9B,USUYG1230719
6,"Pause","Eddy de Pretto,Yseult",55,189,"french pop, french rock, nouvelle chanson francaise, pop quebecois, r&b francais","Pop, Rock, World/Traditional, Electronic, Latin","À TOUS LES BÂTARDS",2021-09-01,03:05,39,34,90,0,27,10,10,-11,E Minor,4,2024-06-29,57TwkG6mUvWDZsEqARyeI2,"Universal Music Division Virgin Music",9A,FRUM72101340
7,"nuh uh","Jades Goudreault",10,98,"la pop","Pop","Heard Well Hot Tracks",2021-04-26,02:31,92,59,5,0,56,10,0,-3,F#/G♭ Major,4,2024-06-29,0vR5OuZy9dEB8DzubPbW6H,"Heard Well",2B,QM6N22118066
8,"Dancing on My Own","ROOKIES",15,107,"deep tropical house","Electronic","Dancing on My Own",2016-07-16,03:08,79,72,39,0,41,0,10,-8,B Major,4,2024-06-29,2nE5hUZxulddi5wUXjilLU,"Rookie Sweat",1B,TCACQ1637838
9,"Sneakin' Around With You","Helen Humes",14,106,"jazz blues, torch song","Blues, Jazz","Sneakin' Around (Paris 1974)",2008-06-02,02:57,73,35,67,0,55,0,10,-7,C Major,4,2024-06-29,6rfTBrpEfEzGlEwhWbF9IB,"Disques Black & Blue",8B,FR6V80209984
10,"touch me - remix","Afgan,Robin Thicke",36,100,"indonesian pop, malaysian pop, dance pop, neo soul, pop rap, r&b, urban contemporary","Pop, R&B, Hip Hop","touch me (remix)",2021-09-17,03:00,74,44,44,0,82,10,10,-9,C Minor,4,2024-06-29,7luf54TLWbGgxmXvtmjMLg,"Trinity Optima Production / EMPIRE",5A,USUYG1385253
11,"6's to 9's - Analog Sessions","Big Wild,Rationale",43,96,"vapor soul, uk contemporary r&b","R&B","Superdream: Analog Sessions",2019-10-04,03:34,72,40,76,0,17,0,0,-7,F#/G♭ Major,4,2024-06-29,2noMjX8RXQpegZnmQWe60B,"Counter Records",2B,GBCFB1900227
