#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"touch me - remix","Afgan,Robin Thicke",36,100,"indonesian pop, malaysian pop, dance pop, neo soul, pop rap, r&b, urban contemporary","Pop, R&B, Hip Hop","touch me (remix)",2021-09-17,03:00,74,44,44,0,82,10,10,-9,C Minor,4,2024-08-02,7luf54TLWbGgxmXvtmjMLg,"Trinity Optima Production / EMPIRE",5A,USUYG1385253
2,"Sneakin' Around With You","Helen Humes",14,106,"jazz blues, torch song","Blues, Jazz","Sneakin' Around (Paris 1974)",2008-06-02,02:57,73,35,67,0,55,0,10,-7,C Major,4,2024-08-02,6rfTBrpEfEzGlEwhWbF9IB,"Disques Black & Blue",8B,FR6V80209984
3,"FACE MYSELF","Elley Duhé,Teddy Swims",65,98,"alt z, ","Pop","FACE MYSELF",2023-03-17,03:47,51,65,9,0,22,0,10,-6,D Minor,4,2024-08-02,2R5hXZrxhgwycn39rC0OdQ,"Not Fit For Society",7A,QZLBC2303926
4,"Us Again","Benji Lewis",33,93,"vapor soul","R&B","Us Again",2018-06-07,03:11,66,50,37,0,30,20,20,-8,C♯/D♭ Major,4,2024-08-02,2nx1q4lJYPa1rBYHeQ6Zc2,"Benji Lewis",3B,GBKPL1807509
5,"Selfish","Justin Timberlake",52,88,"dance pop, pop","Pop","Everything I Thought It Was",2024-03-15,03:49,69,54,7,3,38,0,0,-7,C♯/D♭ Major,4,2024-08-02,5GSYbwIInbmPvNRyl7nDpR,"RCA Records Label",3B,USRC12400001
6,"Bright Side","Johnny Stimson",21,163,"chill r&b, singer-songwriter pop","R&B, Pop","Bright Side",2016-03-11,03:16,33,35,51,0,19,10,10,-11,G Major,4,2024-08-02,1robros8SHFKxziDriiHNn,"Johnny Stimson",9B,TCACM1657734
7,"No God","Sam Smith",41,87,"pop, uk pop","Pop","Gloria",2023-01-27,03:17,45,50,38,0,15,20,10,-8,F#/G♭ Minor,4,2024-08-02,0RlBQOKhSIpAFmn2MbSH6j,"Capitol Records UK / EMI",11A,GBUM72205411
8,"Genie in a Bottle","Oshri",25,94,"","","Genie in a Bottle",2019-01-31,03:18,48,65,6,0,63,0,0,-5,D Minor,4,2024-08-02,31AZamcO2dafXDymU8kidB,"Trace Music",7A,FR9DZ1900246
9,"nuh uh","Jades Goudreault",10,98,"la pop","Pop","Heard Well Hot Tracks",2021-04-26,02:31,92,59,5,0,56,10,0,-3,F#/G♭ Major,4,2024-08-02,0vR5OuZy9dEB8DzubPbW6H,"Heard Well",2B,QM6N22118066
10,"La La Land - Acoustic","Bryce Vine",42,98,"indie pop rap","Hip Hop","La La Land EP",2019-07-05,02:17,73,42,56,0,36,0,0,-9,C♯/D♭ Minor,4,2024-08-02,1sMi8ywnrNKysixM34zH9W,"Sire",12A,USWB11901204
