#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Young","Vallis Alps",52,94,"australian indie, electropop, vapor soul","Electronic, Pop, R&B","Vallis Alps",2015-01-06,05:24,59,38,73,29,20,0,10,-12,D#/E♭ Minor,4,2024-08-25,0ad87RTfHWmC2Syh1nOxEd,"Vallis Alps",2A,UST8K1500853
2,"Wait For A Minute","Tyga,Justin Bieber",49,100,"hip hop, pop rap, rap, southern hip hop, trap, canadian pop, pop","Pop, Hip Hop","Wait For A Minute",2013-01-01,03:27,59,34,9,0,42,10,10,-11,E Minor,4,2024-08-25,1AcJJerSHcXCnevx9oSoWe,"Cash Money Records/Motown Records",9A,USCM51300919
3,"It Won't Kill Ya","The Chainsmokers,Louane",48,170,"pop, french pop","Pop","Memories...Do Not Open",2017-04-07,03:37,57,53,6,0,12,0,10,-9,F#/G♭ Minor,4,2024-08-25,5xhJmd0I15jFcEdqxfCzKk,"Disruptor Records/Columbia",11A,USQX91700584
4,"Good Enough","Elderbrook",19,89,"uk dance","Electronic","Travel Slow",2015-08-21,03:57,63,28,77,12,21,10,10,-16,G Major,4,2024-08-25,2Fmutbd7Yz44pYWUXdrX4e,"Black Butter Records",9B,GBMKA1486414
5,"Trade it for the Night","HAEVN",53,93,"dutch pop","Pop","Trade it for the Night",2022-06-10,04:50,75,54,22,11,29,0,10,-8,F#/G♭ Minor,4,2024-08-25,0cL6f54xJgTToLjECbnYiA,"Nettwerk Music Group Inc.",11A,NLZ292200066
6,"Last Time","Sickick",36,100,"bass trap","Hip Hop","Last Time",2019-12-20,03:19,81,86,44,0,50,10,50,-5,F Major,4,2024-08-25,669Ev1r4GnyfxCJajgjyw5,"SICK UNIVERSE CORP",7B,QZK6P1957934
7,"Comfortable (feat. Fana Hues)","THEY.,Fana Hues",23,91,"trap soul, alternative r&b, indie r&b","R&B","Comfortable (feat. Fana Hues)",2022-07-01,03:53,60,67,5,0,27,0,0,-5,A#/B♭ Minor,4,2024-08-25,0LtrtynSMHFy14nuc9knoM,"Nü Religion Records",3A,GBKPL2203508
8,"California King","D.B. Ricapito",29,172,"","","California King",2018-01-12,03:15,67,52,57,0,72,0,10,-6,E Minor,4,2024-08-25,180OrhCzFdX7Pyhri6AerI,"Cheiron Records",9A,uscgh1812192
9,"Don't Let Go","Strong Asian Mothers",27,160,"","","Don't Let Go",2016-10-21,02:38,66,53,10,0,38,10,30,-8,E Minor,4,2024-08-25,222VjaQ6wUWhe3SnbNHJ2K,"Old Money Land Money Records",9A,GBKPL1672125
10,"Testify","Robin Thicke",35,180,"dance pop, neo soul, pop rap, r&b, urban contemporary","Pop, R&B, Hip Hop","Testify",2018-12-12,03:20,67,42,74,0,57,0,10,-9,G Major,4,2024-08-25,3KUcJryOB8pwkBO3ffzzZD,"Thicke Music / EMPIRE",9B,USUYG1230719
11,"6's to 9's - Analog Sessions","Big Wild,Rationale",43,96,"vapor soul, uk contemporary r&b","R&B","Superdream: Analog Sessions",2019-10-04,03:34,72,40,76,0,17,0,0,-7,F#/G♭ Major,4,2024-08-25,2noMjX8RXQpegZnmQWe60B,"Counter Records",2B,GBCFB1900227
12,"Float On","Phil Good",34,102,"la pop","Pop","Float On",2021-02-17,02:56,69,58,10,0,29,0,0,-5,C♯/D♭ Minor,4,2024-08-25,2ymifjFHCi1myYA58sHI4v,"Elektra (NEK)",12A,USAT22100342
13,"Drop That Booty Down Low","Brandon Beal,Christopher,HEDEGAARD",41,96,"danish pop, danish electronic, scandipop","Electronic, Pop","Truth",2016-07-22,03:19,68,68,9,0,35,0,10,-5,G#/A♭ Minor,4,2024-08-25,1r1UNob1iQZuFzNEw0r76x,"Universal Music A/S",1A,DKUM71600195
14,"Africa (Acoustic)","Tyler Ward,Lisa Cimorelli",45,89,"acoustic cover, viral pop, ","Pop","he said. she said.",2019-05-17,03:18,46,36,83,0,32,0,0,-8,D#/E♭ Minor,4,2024-08-25,20MrNFQt4R0jIsdzKNFd0v,"Tyler Ward Music",2A,GBDMT1900062
15,"Lonely Star","Oh Wonder",41,84,"electropop, indie poptimism, pov: indie","Pop","Home Tapes",2020-06-26,03:57,49,28,88,1,21,20,0,-16,C♯/D♭ Minor,4,2024-08-25,7Amz41doI0DKoXLrF0KvYK,"Universal-Island Records Ltd.",12A,GBUM72001306
16,"Crossfire","Stephen",52,74,"la pop","Pop","Crossfire",2015-12-07,04:30,32,56,46,0,20,30,60,-5,F Minor,4,2024-08-25,5HjBpej4uHPAX8sMeUFJms,"Halfway House",4A,TCACK1506268
17,"The Half","Ruben",41,90,"norwegian pop","Pop","Melancholic",2019-05-03,02:44,62,65,2,0,35,0,10,-7,D Major,4,2024-08-25,7K3ToTmK5P1z0QK9sByc09,"Universal Music AS",10B,NOKAW1808020
18,"Partition","Beyoncé",68,176,"pop, r&b","Pop, R&B","BEYONCÉ [Platinum Edition]",2014-11-24,05:19,42,44,3,7,17,20,30,-12,B Minor,4,2024-08-25,5hgnY0mVcVetszbb85qeDg,"Parkwood Entertainment/Columbia",10A,USSM11307803
19,"Mamma Mia","Ripley Alexander",53,207,"","","Mamma Mia",2024-05-31,04:02,39,28,67,0,46,0,0,-7,B Major,4,2024-08-25,4YbdNj5vI5VOkWw5u9U1xZ,"Supernormal Music",1B,AUBEC2437661
20,"Oh Lord","MiC LOWRY",37,96,"","","Oh Lord",2016-09-16,03:34,28,77,2,0,35,0,0,-7,G Minor,4,2024-08-25,1XUiFMK48Yy4fgds8l9aLH,"Polydor Records",6A,GBUM71604314
21,"Revenge And a Little More","Unlike Pluto",43,90,"la pop","Pop","Pluto Tapes: Volume 3",2019-08-01,04:12,75,49,36,0,37,0,20,-8,A Minor,4,2024-08-25,26VyhqkJmiMCmNy6b0anKi,"Heroic",8A,NLRD51632308
22,"empty crown","YAS",44,84,"","","empty crown",2019-04-05,03:34,43,48,37,8,8,0,0,-6,G#/A♭ Minor,4,2024-08-25,5j4hgym3SUadjFieaAIVw0,"bitbird",1A,NLRD51632280
23,"Morning","Marc E. Bassy",53,107,"indie pop rap","Hip Hop","Groovy People",2016-08-05,03:26,46,44,56,0,34,10,10,-8,A#/B♭ Major,3,2024-08-25,54Yappwod1fELR5zb2gDBn,"Republic Records/Gee Roberson",6B,USUM71607077
24,"Selfish","Justin Timberlake",67,88,"dance pop, pop","Pop","Selfish",2024-01-25,03:49,69,54,7,3,38,0,0,-7,C♯/D♭ Major,4,2024-08-25,0QosomGFiJYOxj2ViZfqng,"RCA Records Label",3B,USRC12400001
