#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Borderline","Jordan Rakei",52,92,"indie soul, neo r&b","R&B","Origin (Deluxe Edition)",2020-03-13,04:15,55,60,34,0,23,0,0,-7,F Major,4,2024-09-14,5rcGQIrv6eUIyCBfWga363,"Ninja Tune",7B,GBCFB2000077
2,"California King","D.B. Ricapito",29,172,"","","California King",2018-01-12,03:15,67,52,57,0,72,0,10,-6,E Minor,4,2024-09-14,180OrhCzFdX7Pyhri6AerI,"Cheiron Records",9A,uscgh1812192
3,"Marvins Room","Conor Maynard",19,171,"post-teen pop, talent show, uk pop, viral pop","Pop","Vegas Girl",2012-07-24,03:32,45,25,95,0,29,0,10,-12,F Minor,3,2024-09-14,1EjmPUwTvR5UMQ3bPaIVg0,"Parlophone UK",4A,GBAYE1200831
4,"On Our Knees (feat. R.O)","Konoba,R.O",47,87,"belgian pop","Pop","Smoke & Mirrors",2017-01-20,04:37,59,34,86,3,27,0,20,-10,C♯/D♭ Minor,4,2024-09-14,2HCgcgN4PA0xr2ZqtsBpPb,"Konoba",12A,BEDY11500005
5,"Turn the Lights Down","Cavalcade",0,92,"","","Turn the Lights Down",2015-06-05,03:17,69,41,44,0,27,0,10,-7,E Major,4,2024-09-14,3z5Eoxhvou4xGesLoAB36h,"CRS Music Management",12B,AUW631100716
6,"6's to 9's - Analog Sessions","Big Wild,Rationale",43,96,"vapor soul, uk contemporary r&b","R&B","Superdream: Analog Sessions",2019-10-04,03:34,72,40,76,0,17,0,0,-7,F#/G♭ Major,4,2024-09-14,2noMjX8RXQpegZnmQWe60B,"Counter Records",2B,GBCFB1900227
7,"Times Square","Neon Dreams",34,94,"canadian pop","Pop","Times Square",2020-12-11,03:18,48,37,92,0,36,10,10,-9,D#/E♭ Major,4,2024-09-14,59r0BoIgI2yE4fQj4m9PTa,"Dreaming Out Loud",5B,CAEAZ1700044
8,"Blinding Lights","Loi",60,73,"","","Blinding Lights",2021-09-17,02:27,49,18,92,0,54,0,10,-11,A#/B♭ Minor,3,2024-09-14,0cQJGoRki2avKVodXEmr0d,"VOLKSMUSIC/WM Germany",3A,DEA622100968
9,"Slow Fade","Ruth B.",5,80,"alt z, canadian contemporary r&b, canadian pop, pop","Pop, R&B","Songs for Mum",2024-03-08,03:31,73,31,77,0,39,0,0,-10,D Major,4,2024-09-14,2N2ncz3bVBDeo35VceaYUH,"BMG Rights Management (UK) Ltd.",10B,USSM11807663
10,"Loverboy","Mattis",12,90,"scandinavian r&b","R&B","Loverboy",2017-03-10,03:28,62,57,53,6,20,10,10,-8,G#/A♭ Major,4,2024-09-14,3qLvgzwkFHPASaxKBiXVVu,"Sony Music Entertainment",4B,DKADG1700174
11,"Fortnight (feat. Post Malone) - Acoustic Version","Taylor Swift,Post Malone",61,96,"pop, dfw rap, melodic rap, rap","Hip Hop, Pop","Fortnight (Acoustic Version)",2024-07-09,03:48,61,31,75,0,48,0,10,-11,B Major,4,2024-09-14,2BUTSRKPGRsyc9FnsC5Udd,"Taylor Swift",1B,USUG12402573
12,"Good Enough","Elderbrook",19,89,"uk dance","Electronic","Travel Slow",2015-08-21,03:57,63,28,77,12,21,10,10,-16,G Major,4,2024-09-14,2Fmutbd7Yz44pYWUXdrX4e,"Black Butter Records",9B,GBMKA1486414
13,"Die A Happy Man","Thomas Rhett",36,166,"contemporary country, country, country road, modern country rock","Country, Rock","Tangled Up (Deluxe)",2016-10-28,03:47,59,39,41,0,39,0,10,-9,D Major,4,2024-09-14,68lSGZIJy3QYHnJfcssrPE,"The Valory Music Co., LLC",10B,USLXJ1507199
14,"Peaches","J-Sol,Hari",20,78,"uk contemporary r&b","R&B","Peaches",2021-03-29,03:46,51,34,85,0,46,10,10,-13,C Major,4,2024-09-14,4jYZRzt2pyyNTQzK1dpRWt,"SOL RECORDS",8B,GBKPL2148551
15,"Lonely Star","Oh Wonder",0,84,"electropop, indie poptimism, pov: indie","Pop","Lonely Star",2020-04-03,03:57,49,28,88,2,21,20,0,-16,C♯/D♭ Minor,4,2024-09-14,5v7R1oGmAtsUFHJg66awep,"Universal-Island Records Ltd.",12A,GBUM72001306
