#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Vampire","Dominic Fike",60,98,"alternative pop rock, pov: indie","Rock, Pop","What Could Possibly Go Wrong",2020-07-31,03:06,79,74,33,0,70,0,10,-5,C Minor,4,2023-07-06,0SRPuTnr5QOKRoIxMvvlgK,"Columbia",5A,USQX92003250
2,"FOMO","Sylo",40,101,"canadian contemporary r&b","R&B","Sylo Songs",2020-01-21,02:07,90,53,23,0,59,10,20,-8,G#/A♭ Major,4,2023-07-06,02zYabT1FTwMy8byKpd40O,"Muk Posh",4B,USLD91718834
3,"Lowws","Mushroom People",32,103,"","","Lowws",2018-05-11,03:01,88,61,33,0,56,0,30,-6,G#/A♭ Major,4,2023-07-06,1mVoLELFq7zdbqUjXii2yp,"Giant Fungus",4B,FR2X41831366
4,"Obsessed (with Charlie Puth & Shenseea)","Calvin Harris,Charlie Puth,Shenseea",52,100,"dance pop, edm, electro house, house, pop, progressive house, uk dance, viral pop, dancehall, dancehall queen","Pop, World/Traditional, Electronic","Funk Wav Bounces Vol. 2",2022-08-05,03:46,73,74,25,0,90,0,30,-6,C♯/D♭ Minor,4,2023-07-06,0b5CzUhyShYuDdtW5J4wm2,"Columbia",12A,GBARL2201567
5,"Selfish","Virginia To Vegas",38,102,"canadian pop","Pop","Selfish",2017-02-24,03:31,68,78,6,0,36,0,10,-5,G#/A♭ Minor,4,2023-07-07,0ppUopIIOTVmoq79vAkDFj,"Wax Records",1A,CA0K50900290
6,"Tricky","Shoffy,Sabrina Carpenter",38,90,"chill pop, la pop, pop","Pop","Flash",2020-03-13,02:31,83,47,59,0,87,20,10,-7,A Minor,4,2023-07-07,5xXGzRBNC2xUZIjYq11cAN,"Otherground Records",8A,QZC5P1800134
7,"All My Sins (feat. syd hartha)","Sarah Barrios,syd hartha",26,93,"alt z, opm, pinoy indie","Pop","All My Sins (feat. syd hartha)",2020-12-04,02:51,69,54,36,0,49,10,20,-8,C Major,4,2023-07-07,3i0CZ8RoNRrNoNkHzm8UYQ,"Visionary Records/Arista",8B,USQX92005360
8,"up at night (feat. justin bieber)","Kehlani,Justin Bieber",55,100,"pop, r&b, rap, canadian pop","Pop, R&B, Hip Hop","up at night (feat. justin bieber)",2022-03-30,03:02,56,76,20,0,23,0,20,-4,C Minor,4,2023-07-07,4WghJOMjDpGdlk3b8aJIgy,"TSNMI / Atlantic",5A,USAT22107185
9,"Over","Kaskade,Rose Adam",0,100,"edm, electro house, pop dance, progressive electro house, progressive house, vocal house, ","Electronic","Redux 003",2019-05-10,02:45,55,48,39,0,45,10,10,-8,F Minor,4,2023-07-07,5RT3FWEuGTS92vTmVQLkyD,"Arkade",4A,GBKPL1948861
10,"Candied Tangerines - Chill Mix","Jon Bryant,Two Another",24,90,"indiecoustica, modern indie folk, indie soul","R&B, Folk/Acoustic","Candied Tangerines (Chill Mix)",2021-12-31,02:58,64,69,7,0,58,10,20,-5,F#/G♭ Minor,4,2023-07-07,1jZk8h0o2ECvN8BE85CZeq,"Nettwerk Music Group",11A,CAN112100903
11,"Long Beach","Kota the Friend,Hello O'shay,Alex Banin",53,105,"underground hip hop, ","Hip Hop","EVERYTHING",2020-05-22,04:12,81,61,7,0,56,10,10,-8,D Major,4,2023-07-18,6tqIes4TjudsjfIpK4P2Jh,"Fltbys LLC",10B,QZES82020385
12,"Doorstep","Izzy Bizu",26,100,"british soul","R&B","GLITA - EP",2019-05-03,03:12,83,48,37,0,33,10,10,-9,C♯/D♭ Major,4,2023-07-18,2to0Jutm0Wm9A0tCIowF13,"RCA Records Label",3B,GBARL1801072
13,"Til I Get Found","Marc E. Bassy",33,105,"indie pop rap","Hip Hop","Gossip Columns",2017-10-13,03:42,77,70,7,0,40,0,10,-7,A#/B♭ Minor,4,2023-07-22,3UReTN3heQsznBG8edEcTU,"Republic Records/Gee Roberson",3A,USUM71710704
14,"Pretty Please","Uncle Maximilien,NNAVY",45,104,"","","Pretty Please",2023-02-24,02:35,75,39,71,0,77,20,10,-13,C Major,4,2023-07-24,6FRrZP6qSHeRaNWp2UqYvV,"3186822 Records DK",8B,QZES52390972
15,"Loyal to Me - Acoustic Version","Nina Nesbitt",17,106,"alt z, neo-singer-songwriter, uk pop","Pop","The Sun Will Come up, The Seasons Will Change & The Flowers Will Fall",2019-11-22,03:12,79,48,32,0,69,0,0,-7,C♯/D♭ Minor,4,2023-07-28,23yA7D1yb1L5qRTrtEK5cB,"Cooking Vinyl Limited",12A,GBCEJ1800205
16,"Candy","Ruben",28,205,"norwegian pop","Pop","Candy",2021-06-18,02:15,35,52,28,0,76,40,10,-8,C♯/D♭ Major,4,2023-08-04,3gYVC6X3m0CsRPvfDWmHuC,"Universal Music AS",3B,NOKAW2108010
17,"Stunnin' (feat. Harm Franklin)","Curtis Waters,Harm Franklin",0,100,"alberta hip hop","Hip Hop","Stunnin' (feat. Harm Franklin)",2020-05-18,02:24,88,68,30,0,94,0,10,-6,B Minor,4,2023-08-07,4PCuawKk43uo3VwOYEwUEA,"BMG Rights Management (US) LLC",10A,QMRSZ2001619
18,"You","Regard,Troye Sivan,Tate McRae",37,106,"pop dance, pop edm, slap house, uk dance, australian pop, pop, viral pop","Pop, Electronic","You",2021-04-16,03:53,70,70,6,0,52,0,0,-6,C Major,4,2023-08-09,69lJuy3wAfYFmH7VmsAAfo,"Ministry of Sound Recordings",8B,GBCEN2100073
19,"High Horse (feat. BRELAND and Blanco Brown)","Nelly,BRELAND,Blanco Brown",43,105,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary, black americana, country rap","Country, Hip Hop, Pop","High Horse",2021-08-06,02:32,88,75,2,0,95,0,0,-3,E Major,4,2023-08-12,4XMNF67BLR9zzti9XLVFR7,"Records/Columbia",12B,USQX92101464
20,"Mess","Jordan Fisher",34,97,"movie tunes, post-teen pop","Easy listening, Pop","Mess",2017-10-06,03:47,79,38,3,0,43,0,10,-12,C Major,4,2023-08-13,063lgLAm6mwLaTbKerUL19,"Hollywood Records",8B,USHR11738177
21,"Big (feat. Gunna)","Rita Ora,David Guetta,Imanbek,Gunna",47,112,"dance pop, pop, uk pop, big room, edm, pop dance, electro house, slap house, atl hip hop, melodic rap, rap, trap","Hip Hop, Electronic, Pop","Big (feat. Gunna)",2021-02-11,02:36,78,85,7,0,62,0,0,-3,G Major,4,2023-08-15,78oZ26xvmtCfarveRXs3dq,"Atlantic Records UK",9B,GBAHS2100008
22,"3 to 1","Monoir,Eneli",32,108,"romanian pop","Pop","3 to 1",2020-09-25,03:39,90,58,37,1,55,0,20,-5,B Minor,4,2023-08-17,1Rt3XQp1trBEFNLOsheKfu,"Thrace Music",10A,ROTHR2000101
23,"Love You Anyway","Space 9,Josh Tobias",3,105,"","","Love You Anyway",2020-09-16,03:06,80,40,1,0,91,10,0,-11,G#/A♭ Minor,4,2023-09-29,1p4t9YsqdJeTgoI0roMvYl,"Space 9",1A,QZK6K2065264
24,"10:35","Tiësto,Tate McRae",73,120,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance, pop","Electronic, Pop","10:35",2022-11-03,02:52,70,79,7,0,70,10,10,-6,G#/A♭ Major,4,2023-09-29,6BePGk3eCan4FqaW2X8Qy3,"Atlantic Records",4B,CYA112001130
25,"Hey Cowboy","Devon Cole",48,91,"alt z, singer-songwriter pop","Pop","Hey Cowboy",2022-10-21,03:07,77,45,3,0,90,0,20,-7,A#/B♭ Minor,4,2023-09-30,5FfgLIooERZ7rcNcwxAcdF,"Arista Records",3A,USAR12200398
26,"I Feel Good","Pink Sweat$",56,106,"bedroom soul","R&B","I Feel Good",2021-10-15,02:16,80,75,2,0,63,0,0,-5,B Major,4,2023-09-30,3lUQpvfWFcxZC3RYAVGE7F,"Atlantic Records",1B,USAT22105781
27,"What You Wanna Try","Masego",65,99,"alternative r&b, indie soul","R&B","Masego",2023-03-03,02:39,84,60,7,0,51,10,0,-5,D Major,4,2023-09-30,526fD9LiAEi3KKvhhYfWmm,"EQT Recordings/Capitol Records",10B,USUM72301661
28,"Forgive Me","Sofi Tukker,Mahmut Orhan",48,100,"edm, turkish deep house, turkish edm","Electronic","WET TENNIS",2022-04-29,03:45,62,69,17,0,46,10,0,-8,F Minor,4,2023-09-30,5T6dWZIl0ePMxWUzKQbhji,"Ultra Records, LLC",4A,QM37X2100014
29,"Flatline","Two Feet",42,107,"indie poptimism, modern rock","Pop, Rock","Max Maco Is Dead Right?",2021-04-16,02:54,72,90,1,0,84,0,10,-4,C Minor,4,2023-09-30,4r05ev9hIFnjWUkzJGMu46,"Two Feet",5A,GBKPL2143416
30,"Butterflies","James TW",44,100,"british singer-songwriter, uk pop","Folk/Acoustic, Pop","Heartbeat Changes",2022-04-29,03:17,71,66,23,0,51,10,10,-7,C Minor,4,2023-09-30,3HPS8Nh23hatP7iZ3E7qEz,"Island Records",5A,USUM72102562
31,"Grip","Alec Bailey",21,92,"","","Grip",2019-01-18,02:48,73,52,33,1,81,0,10,-6,F#/G♭ Major,4,2023-10-06,1SUpeDDpc0z3lpru5ON1hC,"CN Records",2B,QM24S1847057
32,"Bounce","Emotional Oranges",0,106,"indie r&b","R&B","Bounce",2022-07-08,02:52,81,64,31,0,42,0,10,-6,F Minor,4,2023-10-06,0dc7vqP0w2kLg39jk2kVhU,"Avant Garden",4A,QM24S2202777
