#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Love and Happiness","Al Green",45,100,"classic soul, funk, memphis soul, quiet storm, soul, soul blues, southern soul","R&B, Blues","Greatest Hits",1975-05-29,05:03,83,43,30,1,74,10,0,-11,G#/A♭ Minor,4,2024-10-21,2pYCyEwJ0xKnWbuQkqNHgp,"Fat Possum",1A,US2HK0914205
2,"So Sick","Ne-Yo",78,93,"dance pop, pop, r&b, urban contemporary","Pop, R&B, Hip Hop","In My Own Words",2006-01-01,03:27,45,57,25,0,58,30,10,-8,F#/G♭ Major,4,2024-10-21,6brl7bwOHmGFkNw3MBqssT,"Def Soul",2B,USUM70501633
3,"Levels","Nick Jonas",50,198,"dance pop, pop","Pop","Nick Jonas X2",2015-11-20,02:47,43,66,5,0,66,40,20,-5,F Minor,4,2024-10-21,6pf9datdAtxQj4EU8UYHSx,"Safehouse Records / Island Records",4A,USUM71512568
4,"Lovely Day","Bill Withers",80,98,"classic soul, funk, quiet storm, soul","R&B","Menagerie",1977-10-29,04:14,69,65,29,0,71,0,10,-8,A Major,4,2024-10-21,0bRXwKfigvpKZUurwqAlEh,"Columbia/Legacy",11B,USSM10207844
5,"Sexy Love","Ne-Yo",71,94,"dance pop, pop, r&b, urban contemporary","Pop, R&B, Hip Hop","In My Own Words",2006-01-01,03:40,69,51,30,0,49,0,0,-6,G#/A♭ Major,4,2024-10-21,10aWGOqSDBqvNzJ9NeKDbK,"Def Soul",4B,USUM70600316
6,"Shady (feat. Nile Rodgers & Sam Sparro)","Adam Lambert,Nile Rodgers,Sam Sparro",33,100,"dance pop, idol, pop, post-teen pop, disco, australian dance, funktronica","Electronic, Pop, R&B","Trespassing (Deluxe Version)",2012-05-08,02:58,73,74,2,0,57,0,20,-6,C♯/D♭ Major,4,2024-10-21,69ywyIuCJZ6SAYoIaE4DuP,"RCA Records Label",3B,GBCTA1200087
7,"(Sittin' On) the Dock of the Bay","Otis Redding",78,104,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz","R&B, Blues, Jazz","The Dock of the Bay (Mono)",1968-00-00,02:43,77,37,68,0,53,0,0,-11,D Major,4,2024-10-21,3zBhihYUHBmGd2bcQIobrF,"Rhino Atlantic",10B,USAT21403443
8,"Hate That I Love You","Rihanna,Ne-Yo",70,94,"barbadian pop, pop, urban contemporary, dance pop, r&b","Pop, R&B, Hip Hop","Good Girl Gone Bad: Reloaded",2008-06-02,03:38,64,73,32,0,73,0,10,-5,F Minor,4,2024-10-21,7iu0WYLdo4yksKf3seaxzI,"Def Jam Recordings",4A,USUM70734713
9,"Stuck On a Feeling (feat. Snoop Dogg)","Prince Royce,Snoop Dogg",46,100,"bachata, latin hip hop, latin pop, urbano latino, g funk, gangster rap, hip hop, pop rap, rap, west coast rap","Latin, Hip Hop, Pop","Double Vision (Deluxe Edition)",2015-07-24,03:30,82,42,0,0,33,0,10,-6,C♯/D♭ Major,4,2024-10-21,1IDF4jYiuI17U4BW23EoXV,"Sony Music Latin/RCA Records",3B,USSD11400306
10,"touch me - remix","Afgan,Robin Thicke",36,100,"indonesian pop, malaysian pop, dance pop, neo soul, pop rap, r&b, urban contemporary","Pop, R&B, Hip Hop","touch me (remix)",2021-09-17,03:00,74,44,44,0,82,10,10,-9,C Minor,4,2024-10-21,7luf54TLWbGgxmXvtmjMLg,"Trinity Optima Production / EMPIRE",5A,USUYG1385253
11,"It's Your Thing","The Isley Brothers",55,186,"classic soul, funk, motown, quiet storm, soul","R&B","It's Our Thing (Expanded Edition)",1969-08-21,02:49,38,67,7,0,84,0,0,-9,A#/B♭ Major,4,2024-10-21,3ZxfehzRtB3oJcBuxWXFZQ,"Epic/Legacy",6B,USSM18400324
12,"Future Love","Varsity Fanclub",27,100,"boy band","Pop","Future Love",2008-01-01,03:47,82,59,3,0,84,0,10,-6,C Major,4,2024-10-21,7wilwWKK7waG7PIITyuR50,"Capitol Records",8B,USCA20803317
