#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"STOP!","UPSAHL",37,112,"alt z, modern indie pop","Pop","STOP!",2021-02-12,02:28,74,68,9,3,71,0,0,-5,G#/A♭ Minor,4,2024-06-09,7irq1X57FwkQrGFVOayjsm,"Arista Records",1A,USQX91903192
2,"nuh uh","Jades Goudreault",51,98,"la pop","Pop","Motel 6 (Bonus Track)",2021-01-06,02:31,93,59,5,0,57,10,0,-3,C♯/D♭ Major,4,2024-06-09,2tigH2DP65aAzAlyAFNoRZ,"Jades Goudreault",3B,QZNWY2019923
3,"Model","Before You Exit",28,93,"teen pop","Pop","All the Lights",2016-04-08,03:38,59,65,16,0,59,0,10,-6,G Minor,4,2024-06-09,6GyonEpvG60tYPeuIzKNkl,"Before You Exit",6A,USRC11501747
4,"Slow Low","Jason Derulo",51,185,"dance pop, pop","Pop","Slow Low",2023-06-08,03:04,49,77,5,0,52,0,40,-6,F#/G♭ Minor,4,2024-06-09,4MQXkF0FjdlqEHy73IZfoO,"Atlantic Records",11A,USAT22305247
5,"Go Down Deh (feat. Sean Paul & Shaggy)","Spice,Sean Paul,Shaggy",64,90,"dancehall, dancehall queen, jamaican dancehall, dance pop, pop, pop rap, reggae fusion","Pop, World/Traditional, Hip Hop","Go Down Deh (feat. Sean Paul & Shaggy)",2021-04-30,02:34,80,76,11,0,58,10,20,-5,D Major,4,2024-06-09,0VzBKgimNRMauaqzT2rEnS,"VP Records",10B,USVPR2100046
6,"MONTERO (Call Me By Your Name)","Lil Nas X",68,179,"lgbtq+ hip hop","Hip Hop","MONTERO (Call Me By Your Name)",2021-03-31,02:17,61,51,30,0,76,10,30,-7,G#/A♭ Minor,4,2024-06-09,67BtfxlNbhBmCDR2L2l8qd,"Columbia",1A,USSM12100531
7,"Trust Fund Baby","Why Don't We",58,164,"boy band, pop","Pop","Trust Fund Baby",2018-02-01,03:04,62,79,6,0,59,0,10,-3,G#/A♭ Major,4,2024-06-09,54j7EaJPDmSZYcNYvLSJ78,"Atlantic Records",4B,USAT21704316
8,"Bed (feat. Ariana Grande)","Nicki Minaj,Ariana Grande",60,90,"hip pop, pop, queens hip hop, rap","Pop, Hip Hop","Queen",2018-08-10,03:09,76,73,3,0,45,10,10,-6,G Major,4,2024-06-09,3L4GsGLgxpHieVQH86H8bv,"Young Money/Cash Money Records",9B,USCM51800135
9,"Location","AXSHN",17,95,"","","Location",2017-10-06,03:15,45,82,16,0,49,0,10,-4,B Minor,4,2024-06-09,0Zkc5b8KnT7p0fd4BcunLU,"Parametric/Atlantic",10A,USAT21703575
10,"Takeaway","The Chainsmokers,ILLENIUM,Lennon Stella",67,100,"pop, edm, melodic dubstep, pop dance, alt z, canadian pop, uk pop","Pop, Electronic","World War Joy",2019-12-06,03:29,53,51,13,0,35,0,10,-8,D#/E♭ Major,4,2024-06-09,3g0mEQx3NTanacLseoP0Gw,"Disruptor Records/Columbia",5B,USQX91901353
