#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"A Prayer","JNR WILLIAMS",33,78,"british soul","R&B","A Prayer",2019-02-15,03:24,38,64,32,0,44,20,0,-7,A#/B♭ Minor,1,2024-09-15,4SX4NUI58M3KhbalXxjwFC,"Insanity Records",3A,GBARL1900076
2,"Walls - Naked Edition","Ruben",48,90,"norwegian pop","Pop","Walls (Naked Edition)",2018-02-23,02:59,54,46,73,0,46,0,20,-8,G Major,4,2024-09-15,7M0G5wRuoISYiCDytDxEFz,"Universal Music AS",9B,NOKAW1801010
3,"Message in a Bottle","Livingston",54,79,"singer-songwriter pop","Pop","Message in a Bottle",2021-08-18,02:54,67,64,58,0,62,10,10,-5,B Major,4,2024-09-15,20umbRtGLy493kML1VedCq,"Elektra (NEK)",1B,USAT22104474
4,"Waves","Dean Lewis",71,157,"australian pop, pop","Pop","A Place We Knew",2019-03-22,04:00,52,73,18,0,34,0,0,-7,B Minor,4,2024-09-15,6w8pFOKn42O418qwcQElZ3,"Universal Music Australia Pty. Ltd.",10A,AUUM71600906
5,"Little Lover","Nick Broadhurst",17,90,"","","Thank You",2018-06-29,03:59,49,28,70,0,20,0,10,-8,E Minor,4,2024-09-15,4l4CdUmn5BSPRepMwXl3LR,"Broadhurst Holdings",9A,AUZN31500315
6,"Crush","FLETCHER",53,100,"alt z, pop","Pop","In Search Of The Antidote",2024-03-22,02:24,59,40,17,0,24,0,0,-8,D Major,4,2024-09-15,4onuVDT23p1Bhl1Joc02td,"Capitol Records",10B,USUG12400524
7,"Coastline","Hollow Coves",74,100,"indie anthem-folk, indie folk, modern indie folk","Folk/Acoustic","Wanderlust",2017-03-17,03:53,67,50,63,0,43,0,0,-11,D Major,4,2024-09-15,4sDbdBjuYQVdNNB4PiHUPo,"Nettwerk Music Group",10B,AUGSG1600007
8,"Must Have Been The Wind","Alec Benjamin",57,89,"alt z, pop, pov: indie","Pop","These Two Windows",2020-05-29,02:57,65,64,78,0,36,0,10,-6,G Major,4,2024-09-15,6lERHAmBCZmgODv3OYENXi,"P2020",9B,USAT21903478
9,"Sandman","Gaustad",30,92,"","","BLKBX: wht r u hding?",2021-09-10,03:04,76,33,66,0,43,0,10,-10,F#/G♭ Major,4,2024-09-15,5FcCEXmeqK6JPlsozXqFdJ,"Grace Gaustad",2B,USLZJ2189349
10,"Skin","LUME",25,85,"indie electropop","Pop","Tip of Your Thumb",2018-04-19,03:18,64,36,15,0,27,0,10,-11,B Major,4,2024-09-15,5ChAQCyNbTY7hR7EUb1AV7,"Hand 5 Records",1B,US23A1500723
11,"Times Square","Neon Dreams",34,94,"canadian pop","Pop","Times Square",2020-12-11,03:18,48,37,92,0,36,10,10,-9,D#/E♭ Major,4,2024-09-15,59r0BoIgI2yE4fQj4m9PTa,"Dreaming Out Loud",5B,CAEAZ1700044
12,"LA On A Saturday Night","Hearts & Colors",45,82,"channel pop","Pop","LA On A Saturday Night",2018-10-19,03:15,59,59,12,0,34,0,10,-5,A#/B♭ Major,4,2024-09-15,0dbp9YwlGEzXmxavRMgZ4T,"Universal-Island Records Ltd.",6B,SE4RG1813901
13,"Just You and I - Acoustic","Tom Walker",56,172,"indie anthem-folk, uk pop","Folk/Acoustic, Pop","What a Time To Be Alive",2019-03-01,03:18,48,52,68,0,38,40,10,-8,A Major,4,2024-09-15,1vkUmedJVhScV9MmRsLGSY,"Relentless Records",11B,GBARL1601833
14,"Atlantis","Seafret",81,166,"folk-pop","Pop","Tell Me It's Real (Expanded Edition)",2016-01-29,03:49,40,48,5,0,21,0,10,-8,G#/A♭ Minor,4,2024-09-15,1Fid2jjqsHViMX6xNH70hE,"Sweet Jane Recordings",1A,GBARL1500316
15,"Lonely Star","Oh Wonder",41,84,"electropop, indie poptimism, pov: indie","Pop","Home Tapes",2020-06-26,03:57,49,28,88,1,21,20,0,-16,C♯/D♭ Minor,4,2024-09-15,7Amz41doI0DKoXLrF0KvYK,"Universal-Island Records Ltd.",12A,GBUM72001306
16,"The Other Side","Axel Mansoor",26,87,"la pop","Pop","The Other Side",2019-02-01,03:02,68,64,55,0,40,0,10,-7,D Minor,4,2024-09-15,3TdfoKU4NFq21j65ltPTYM,"Axel Mansoor",7A,US7VG1879857
17,"Oxygen","Emeli Sandé",31,86,"r&b, talent show, uk pop","R&B, Pop","Let's Say For Instance",2022-05-06,03:59,49,49,46,0,22,0,10,-6,F#/G♭ Major,4,2024-09-15,3WKOxEG2A31zdaw96U3O4A,"Chrysalis Records",2B,UKKP22100470
18,"Apartment No. 2","Kayla Rae Haywood",35,80,"alt z","Pop","Apartment No. 2",2021-09-30,03:03,66,58,8,0,37,0,10,-7,F#/G♭ Minor,4,2024-09-15,5nE4Dclj0s3wzpFr15okqG,"Ivy Adara",11A,GBKPL2162668
19,"empty crown","YAS",44,84,"","","empty crown",2019-04-05,03:34,43,48,37,8,8,0,0,-6,G#/A♭ Minor,4,2024-09-15,5j4hgym3SUadjFieaAIVw0,"bitbird",1A,NLRD51632280
20,"Weißes Haus","AYLIVA",62,83,"german pop","Pop","Schwarzes Herz",2023-08-25,02:48,63,44,51,0,52,30,30,-9,A#/B♭ Major,4,2024-09-15,2EbO8k2jAHVRMVvUB77nNt,"Whiteheart Records/WM Germany",6B,DEA622301542
21,"The Weight","Shawn Mendes",49,111,"canadian pop, pop, viral pop","Pop","Handwritten (Deluxe)",2015-04-14,03:03,48,50,42,0,33,0,0,-7,A#/B♭ Major,4,2024-09-15,3Mi8mCnvcBPdiPgmHYWEow,"Island Records",6B,USUM71409741
22,"No Right To Love You - Acoustic","Rhys Lewis",52,166,"uk pop","Pop","Things I Chose To Remember",2020-07-10,03:49,47,27,88,0,51,0,10,-11,C♯/D♭ Major,4,2024-09-15,4xFKrhQIvPDIpmFvqlr0sQ,"Decca (UMO)",3B,GBUM71801308
23,"It'll Be Okay","Shawn Mendes",69,78,"canadian pop, pop, viral pop","Pop","It'll Be Okay",2021-12-01,03:42,40,29,62,0,7,0,0,-12,G Major,4,2024-09-15,2KnLkZ3z7PO3kgVGHGqDpD,"Shawn Mendes LP4-5 PS/ Island",9B,USUM72122321
24,"Carry You","Ruelle,Fleurie",53,78,"metropopolis, nashville singer-songwriter","Electronic, Country","Carry You",2018-03-30,04:28,44,34,84,0,14,0,10,-7,G Major,4,2024-09-15,3qeTDINIdJjblabgluS5rK,"Craft Recordings",9B,TCADN1852572
25,"Saturn","Sleeping At Last",64,145,"acoustic pop, ambient worship, chamber pop","Pop, New age","Atlas: I",2014-07-08,04:49,17,24,64,31,4,0,10,-14,D#/E♭ Major,4,2024-09-15,3tJjZMHLqhD8DaGgdBICnc,"Asteroid B-612",5B,USGES1480018
