#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Something About You (with Rudimental) - Chill Mix","Elderbrook,Rudimental",58,106,"uk dance, pop dance, uk funky","Electronic","Something About You (with Rudimental) [Alternate Versions]",2019-10-04,02:46,80,52,37,0,44,10,10,-8,F#/G♭ Minor,4,2019-11-08,6sgqf4wXFWSAmjL1TEXNvZ,"Parlophone UK",11A,GBAYE1901212
2,"Harder (with Bebe Rexha)","Jax Jones,Bebe Rexha",50,104,"dance pop, edm, house, pop dance, uk dance, pop","Pop, Electronic","Snacks",2019-07-12,02:39,91,83,9,0,75,0,10,-3,F Minor,4,2019-11-08,5RgBnDtHKFHgtVdqabjGE3,"Polydor Records",4A,GBUM71902928
3,"Lost","Blake Rose",0,95,"australian electropop, singer-songwriter pop","Pop","Lost",2019-02-08,03:54,60,69,22,0,50,0,10,-7,E Major,4,2019-11-08,2Pph0CUJ8uksCBzV6iyuQF,"Blake Rose",12B,GBKPL1935754
4,"Lucy The Tease","Allan Rayman",44,178,"canadian contemporary r&b","R&B","Hotel Allan",2016-10-28,03:02,69,59,20,0,76,10,0,-6,C Minor,4,2019-11-08,2j4RC1LkwV47B0BMZNyvE3,"Universal Music Canada",5A,CAUC01500050
5,"I Remember You","Keb' Mo'",39,105,"acoustic blues, blues, country blues, electric blues, modern blues, piedmont blues","Blues","Oklahoma",2019-06-14,04:55,90,54,36,1,96,0,10,-9,C Major,4,2019-11-08,5zICtGQU65YwAq3aVqhiW4,"Concord Records",8B,USC4R1906904
6,"Lie","Lukas Graham",40,92,"danish pop, scandipop","Pop","Lie",2019-09-27,02:59,54,61,4,0,31,0,0,-5,F Major,4,2019-11-08,27NaNvlmvOHqTF0VPjuRSD,"Warner Records",7B,USWB11902022
7,"comethru (with Bea Miller)","Jeremy Zucker,Bea Miller",55,94,"alt z, electropop, pop, talent show","Pop","comethru",2019-03-15,03:01,76,19,57,0,60,0,60,-12,C Major,4,2019-11-08,0PgYPBGqF6Wm5KFHQ81nq5,"Republic Records",8B,USUM71903922
8,"Bouncin (feat. Offset)","Kiana Ledé,Offset",40,101,"pop r&b, r&b, atl hip hop, hip hop, pop rap, rap, trap","Hip Hop, R&B","Myself",2019-06-07,02:52,94,56,15,0,77,30,10,-8,G#/A♭ Major,4,2019-11-08,1YWnrz4pqjtt2zlEOuDIFg,"The Heavy Group/Republic Records",4B,USUM71909791
9,"Just Hold On","NuChoyce",7,105,"","","Just Hold On",2019-11-01,02:48,59,73,5,0,57,20,10,-5,G#/A♭ Minor,4,2019-11-08,09n5vG30MWSb2RwU8a7HaP,"2019 WePromoteGreatness",1A,QZHN71998542
10,"Easier – Remix (with Charlie Puth)","5 Seconds of Summer,Charlie Puth",47,176,"boy band, pop, viral pop","Pop","Easier – Remix (with Charlie Puth)",2019-08-13,02:37,42,45,47,0,61,20,10,-5,F Major,4,2019-11-08,5iTaLzgPI5jRMVAxITcZwT,"5 Seconds Of Summer/Interscope",7B,USUG11902801
11,"I Don't Want Your Money (feat. H.E.R.)","Ed Sheeran,H.E.R.",46,91,"pop, singer-songwriter pop, uk pop, r&b, rap","Pop, R&B, Hip Hop","No.6 Collaborations Project",2019-07-12,03:24,47,63,31,0,76,0,10,-7,G#/A♭ Minor,4,2019-11-08,3FHXUqaUer9o231Je1zxIN,"Atlantic Records UK",1A,GBAHS1900724
12,"Rock Me Baby","Adi Barar Band",3,96,"","","Hold On!",2017-06-02,04:05,42,61,41,4,60,0,0,-7,D Minor,4,2019-11-08,2P6UfI8AL9IbZkVeMqaqaI,"MediaPro Music, a division of Universal Music Romania",7A,ROCRP1703998
