#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Young","Vallis Alps",52,94,"australian indie, electropop, vapor soul","Electronic, Pop, R&B","Vallis Alps",2015-01-06,05:24,59,38,73,29,20,0,10,-12,D#/E♭ Minor,4,2024-03-27,0ad87RTfHWmC2Syh1nOxEd,"Vallis Alps",2A,UST8K1500853
2,"rEaR vIeW","ZAYN",49,96,"pop, uk pop","Pop","Mind Of Mine (Deluxe Edition)",2016-03-25,03:21,72,61,61,0,69,0,10,-5,A Minor,4,2024-03-27,6LWS6iYUZKYHNl2VwNytpo,"RCA Records Label",8A,USRC11600391
3,"Locksmith","Sadie Jean",71,99,"alt z, singer-songwriter pop","Pop","Locksmith",2022-10-07,02:44,57,35,56,0,37,0,10,-11,C♯/D♭ Major,4,2024-03-27,4HcARAxzsbIB3MqiEkejM6,"SELENE",3B,USANG2210339
4,"Backseat Rider","Sara Kays",42,104,"alt z, gen z singer-songwriter, modern indie pop","Pop","Backseat Rider",2021-04-23,03:28,57,54,59,0,55,0,20,-9,D Major,4,2024-03-27,0nWhWuaLLCcJS0D19np9Cb,"Atlantic Records",10B,USAT22101672
5,"Gravity","Leo Stannard,Frances",35,95,"indie anthem-folk, neo-singer-songwriter","Folk/Acoustic, Pop","Maratea",2018-06-29,03:06,79,42,53,0,49,0,0,-5,C♯/D♭ Major,4,2024-03-27,1r7J1I74FgrxkmJ6kJBKs6,"Black Butter",3B,GBARL1700029
6,"Bloodsport '15","Raleigh Ritchie",43,92,"uk contemporary r&b","R&B","You're a Man Now, Boy (Deluxe)",2016-02-26,04:17,60,56,2,0,38,0,0,-6,F#/G♭ Minor,4,2024-03-27,2tZnaXqheBRWXnYwRFE8Ey,"Columbia",11A,GBARL1500888
7,"Stay","Stephen,Lindsey Cook",30,98,"la pop, ","Pop","Stay",2018-02-09,03:47,64,70,54,0,47,0,0,-5,F#/G♭ Minor,4,2024-03-27,3biyr4jOeDVItBxBI7ZXgH,"Monstercat",11A,CA6D21800025
8,"Location","AXSHN",17,95,"","","Location",2017-10-06,03:15,45,82,16,0,49,0,10,-4,B Minor,4,2024-03-27,0Zkc5b8KnT7p0fd4BcunLU,"Parametric/Atlantic",10A,USAT21703575
9,"Tainted Love","Trinix,Queen D",66,90,"bass trap, new french touch, ","Hip Hop, Electronic","Tainted Love",2023-01-30,03:04,68,65,21,0,41,0,40,-8,A#/B♭ Major,4,2024-03-27,3ponDZeMH4ONWpPCyfrJ5L,"Inside Records",6B,FXQ892300002
10,"Glow","Susan H",26,192,"","","Glow",2019-12-27,02:57,61,57,70,32,39,0,10,-10,C Minor,4,2024-03-27,03DcHsTJjJDLKuNkRW2WLi,"streamscancometrue",5A,NL65X1900021
11,"Aliens Need Love Too","Phlake,Mercedes the Virus",28,108,"danish pop, scandinavian r&b, ","Pop, R&B","The Illegal Download Of Your Soul",2020-05-15,04:14,58,43,70,0,28,0,10,-6,G#/A♭ Minor,3,2024-03-27,23OQAJVJ0VqXYqveHZRUyv,"Phlake Mansion",1A,DK4YA2007802
12,"go","Cat Burns",62,90,"uk pop","Pop","go",2020-07-31,03:35,66,25,88,0,53,0,0,-10,F#/G♭ Minor,4,2024-03-27,4VtRHZ4tBDHaWltVAytlLY,"Since 93",11A,GBKPL2013050
13,"Fear of the Water","SYML",60,93,"modern indie pop","Pop","Hurt for Me",2016-11-18,04:05,46,21,95,88,15,0,10,-18,G Minor,4,2024-03-27,3jVniYVNCrwQvvWJpReosr,"Nettwerk Music Group",6A,TCACQ1628747
14,"Sailor's Heart","Zyke",27,90,"","","Sailor's Heart",2019-10-04,03:03,48,37,41,0,27,0,10,-11,E Major,3,2024-03-27,2PvZNsVhnHvhXQG2SAYDTp,"Epidemic Sound",12B,SE5Q51902065
15,"Skin","LUME",25,85,"indie electropop","Pop","Tip of Your Thumb",2018-04-19,03:18,64,36,15,0,27,0,10,-11,B Major,4,2024-03-27,5ChAQCyNbTY7hR7EUb1AV7,"Hand 5 Records",1B,US23A1500723
16,"Orion's Belt","Sabrina Claudio",51,84,"alternative r&b, r&b","R&B","Confidently Lost",2017-03-02,03:17,53,35,86,0,54,30,0,-10,A Minor,4,2024-03-27,0RTnMChwd0ARVY3zOyNdaP,"SC Entertainment",8A,USAT21700447
17,"Must Have Been The Wind","Alec Benjamin",57,89,"alt z, pop, pov: indie","Pop","These Two Windows",2020-05-29,02:57,65,64,78,0,36,0,10,-6,G Major,4,2024-03-27,6lERHAmBCZmgODv3OYENXi,"P2020",9B,USAT21903478
18,"Emiliana - Acoustic","CKay",40,82,"afro r&b, afrobeats","R&B","Emiliana",2022-03-04,03:19,37,19,90,1,38,0,10,-13,B Major,4,2024-03-27,5o2eHgbRzQbeZKMFfgy1nn,"WM South Africa",1B,ZA34K2200710
19,"Brushed Down Kilos","James Quick",23,85,"modern alternative pop","Pop","Brushed Down Kilos",2017-01-25,03:06,77,23,67,0,36,0,0,-12,A Minor,4,2024-03-27,7yd28cEPdn4MmEMibkhyD6,"James Quick Music",8A,QZ4JJ1738613
20,"Worry","Jack Garratt",45,90,"uk alternative pop","Pop","Phase (Deluxe)",2016-02-19,04:02,59,49,17,0,34,20,50,-10,A Minor,4,2024-03-27,5mLcaGVV89H58FWJ677E6K,"Universal-Island Records Ltd.",8A,QMFMG1471602
21,"Intrigued","Nico & Vinz",31,84,"afrobeats","R&B","Intrigued",2017-06-22,03:17,65,69,28,0,31,0,10,-5,E Minor,4,2024-03-27,1lbgPy6qUbszFfZwQVec97,"Warner Records",9A,USWB11701143
22,"6 foot deep","EMELINE",41,172,"alt z","Pop","6 foot deep",2020-10-23,02:51,60,67,39,0,44,20,0,-7,F#/G♭ Minor,4,2024-03-27,7L2kNNX22vQjfwfueeqrLm,"EMELINE",11A,QZNMT2070839
23,"Ain't No Use","Matt Woods",30,95,"british soul","R&B","Ain't No Use",2016-12-01,03:46,38,52,58,0,19,0,10,-9,F Minor,4,2024-03-27,0iba0ja4Ik4P7c9LcGG6aV,"Guernsey House",4A,TCACM1693679
24,"Riptide","VAX",54,77,"","","Riptide",2020-11-13,02:17,48,18,80,0,26,0,20,-11,F#/G♭ Major,1,2024-03-27,1OEN5wnzICsfdDOGbwaAdb,"VAX",2B,SE5W32000102
25,"The Other","Lauv",55,180,"pop","Pop","I met you when I was 18. (the playlist)",2018-05-31,03:09,38,55,42,0,38,0,0,-7,G Major,4,2024-03-27,1DlGTnBydbBcOSdC6XEZnq,"Lauv",9B,TCACE1579641
26,"Lonely Star","Oh Wonder",41,84,"electropop, indie poptimism, pov: indie","Pop","Home Tapes",2020-06-26,03:57,49,28,88,1,21,20,0,-16,C♯/D♭ Minor,4,2024-03-27,7Amz41doI0DKoXLrF0KvYK,"Universal-Island Records Ltd.",12A,GBUM72001306
27,"Let Me In","Skinny Living",37,84,"indie anthem-folk","Folk/Acoustic","6",2017-08-11,03:30,66,36,76,0,24,0,0,-7,A Minor,4,2024-03-27,2szkz6fOreck6Eh3fvGEnf,"RCA Records Label",8A,GBARL1700947
28,"Atlantis","Seafret",81,166,"folk-pop","Pop","Tell Me It's Real (Expanded Edition)",2016-01-29,03:49,40,48,5,0,21,0,10,-8,G#/A♭ Minor,4,2024-03-27,1Fid2jjqsHViMX6xNH70hE,"Sweet Jane Recordings",1A,GBARL1500316
29,"The Weight","Shawn Mendes",49,111,"canadian pop, pop, viral pop","Pop","Handwritten (Deluxe)",2015-04-14,03:03,48,50,42,0,33,0,0,-7,A#/B♭ Major,4,2024-03-27,3Mi8mCnvcBPdiPgmHYWEow,"Island Records",6B,USUM71409741
30,"Slow Fade","Ruth B.",48,80,"alt z, canadian contemporary r&b, canadian pop, pop","Pop, R&B","Maybe I'll Find You Again",2019-03-22,03:31,73,31,77,0,39,0,0,-10,D Major,4,2024-03-27,3wnUCt4sWnK0C0XGQGHKo7,"BMG Rights Management (US) LLC",10B,USSM11807663
31,"Snow Angel","Reneé Rapp",61,77,"alt z","Pop","Snow Angel",2023-08-18,03:35,56,21,77,0,18,0,10,-8,G Major,4,2024-03-27,6skUuqrKMQIjjo75hWGAvQ,"Interscope Records",9B,USUM72307949
32,"I Lost a Friend","FINNEAS",61,169,"alt z, la indie, pop, pov: indie","Pop","Blood Harmony",2019-10-04,03:57,45,21,59,0,22,20,10,-12,B Major,4,2024-03-27,3XwTKOAP8Syq2GAcKBCAmN,"OYOY, Inc.",1B,GBKPL1947486
33,"Bed on Fire","Teddy Swims",32,160,"","","Bed on Fire (Stripped)",2021-05-14,03:48,58,55,24,0,28,10,10,-7,C Minor,4,2024-03-27,3i9BC4j8Pe51HaZfBaWcaB,"Warner Records",5A,USWB12004748
34,"Bits and Pieces - Live Acoustic Version","JP Cooper",20,80,"uk pop","Pop","Too Close (Live Acoustic)",2020-09-10,03:29,63,37,74,0,19,0,10,-6,C♯/D♭ Major,4,2024-03-27,2kPprAhAAojsjcbv5Qg2H1,"Universal-Island Records Ltd.",3B,GBUM72004462
35,"Skinny Love","Birdy",70,166,"neo mellow, uk pop, viral pop","Folk/Acoustic, Pop","Birdy",2011-11-04,03:21,38,29,95,0,18,0,10,-8,E Major,4,2024-03-27,4RL77hMWUq35NYnPLXBpih,"Atlantic Records UK",12B,GBAHS1100350
36,"Pieces (Hushed)","Andrew Belle",47,70,"acoustic pop","Pop","Black Bear (Hushed)",2014-10-07,03:18,52,28,89,0,10,0,10,-11,F Minor,4,2024-03-27,3us8sod4dLbM9FiMiPiEY8,"1L Music Inc.",4A,US8D61400011
37,"Saturn","Sleeping At Last",64,145,"acoustic pop, ambient worship, chamber pop","Pop, New age","Atlas: I",2014-07-08,04:49,17,24,64,31,4,0,10,-14,D#/E♭ Major,4,2024-03-27,3tJjZMHLqhD8DaGgdBICnc,"Asteroid B-612",5B,USGES1480018
