#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Sweet & Bitter","Kush Kush",33,99,"german dance","Electronic","Sweet & Bitter",2018-04-06,03:01,78,61,26,0,62,0,0,-6,C Major,4,2024-04-30,2Buieq5kZfpkXViGbaPtzm,"Raison",8B,DEVU51798737
2,"Tip Toe (feat. French Montana)","Jason Derulo,French Montana",56,98,"dance pop, pop, hip hop, pop rap, rap, southern hip hop, trap","Pop, Hip Hop","Tip Toe (feat. French Montana)",2017-11-10,03:07,85,70,2,0,65,0,0,-5,A#/B♭ Minor,4,2024-04-30,2z4pcBLQXF2BXKFvd0BuB6,"Beluga Heights/Warner Records",3A,USWB11702102
3,"Let You Love Me","Rita Ora",54,94,"dance pop, pop, uk pop","Pop","Let You Love Me",2018-09-21,03:10,53,85,29,0,46,20,0,-3,A#/B♭ Major,4,2024-04-30,6xtcFXSo8H9BZN637BMVKS,"Atlantic Records UK",6B,GBAHS1800674
4,"SAD B!TCH","Anne-Marie",44,194,"pop","Pop","SAD B!TCH",2023-02-03,02:12,54,69,30,0,62,10,10,-3,C Minor,4,2024-04-30,4nfyxpiejEPrUHLnejED7i,"Atlantic Records UK",5A,GBAHS2201482
5,"SexyBack","Ilkan Gunuc,Clara Stegall",48,100,"turkish deep house, turkish edm, ","Electronic","SexyBack",2021-04-16,02:28,82,71,9,12,43,0,0,-9,B Minor,4,2024-04-30,18Yyp3ut7I9neYEfNXkhfB,"Lithuania HQ",10A,QM4TX2168138
6,"GANJA GUN","HEDEGAARD,Captain MacKay,TM Bax",33,180,"danish electronic, scandipop, afghan pop, persian pop","Pop, Electronic","GANJA GUN",2022-01-28,03:12,65,79,1,0,43,10,50,-8,C♯/D♭ Major,4,2024-04-30,2NQBRYw9lQ4b2fTqd9nFwb,"LOUDER Records",3B,QMDA62182656
7,"Giver","K.Flay",52,176,"escape room, hip pop, modern alternative rock","Pop, Rock","Every Where Is Some Where",2017-04-07,03:34,49,61,0,1,57,0,0,-4,F Minor,4,2024-04-30,5f8z7Cp7CY9T54Cnq1YVlh,"Dan Reynolds PS",4A,USUM71701785
8,"Friends","EJ Noro,VDG",7,86,"","","Friends",2017-11-17,03:20,43,52,0,0,29,0,10,-7,C Major,4,2024-04-30,7kc113I8fR8Qbg7k2frHG1,"Spotted Records",8B,USUYG1166063
9,"Hey Cowboy","Devon Cole",48,91,"alt z, singer-songwriter pop","Pop","Hey Cowboy",2022-10-21,03:07,77,45,3,0,90,0,20,-7,A#/B♭ Minor,4,2024-04-30,5FfgLIooERZ7rcNcwxAcdF,"Arista Records",3A,USAR12200398
10,"Woman","Elderbrook",40,90,"uk dance","Electronic","Talking",2017-09-01,03:12,84,40,1,1,64,40,50,-9,F Minor,4,2024-04-30,6lK9USR4aviNvksu5RvJwj,"Mine Recordings",4A,GBKPL1784352
11,"Mosaïque","Ash",57,93,"arab electronic","Electronic","Mosaïque",2016-04-09,03:41,67,77,25,80,24,0,20,-6,G Minor,4,2024-04-30,3bbqxT5UGZsvTy1r3txs0t,"Ash",6A,QM4DW1631906
12,"Cola - Elderbrook Chilled Mix","CamelPhat,Elderbrook",33,90,"deep tech house, house, progressive house, uk dance","Electronic","Cola (Chilled Mixes)",2017-11-10,02:52,60,33,75,1,39,10,20,-12,E Major,1,2024-04-30,6rknJfL9M5IHCRfNrRChnc,"Defected Records",12B,GBCPZ1712293
13,"Lonely (with Jonas Brothers)","Diplo,Jonas Brothers",53,98,"dance pop, edm, electro house, moombahton, pop dance, boy band, pop","Pop, Electronic","Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil",2020-05-27,02:19,74,72,6,0,53,0,20,-5,C♯/D♭ Major,4,2024-04-30,6eXFl418w8hsxKcLgv1jwJ,"Columbia",3B,USSM11903345
14,"FACE MYSELF","Elley Duhé,Teddy Swims",65,98,"alt z, ","Pop","FACE MYSELF",2023-03-17,03:47,51,65,9,0,22,0,10,-6,D Minor,4,2024-04-30,2R5hXZrxhgwycn39rC0OdQ,"Not Fit For Society",7A,QZLBC2303926
15,"Locksmith","Sadie Jean",71,99,"alt z, singer-songwriter pop","Pop","Locksmith",2022-10-07,02:44,57,35,56,0,37,0,10,-11,C♯/D♭ Major,4,2024-04-30,4HcARAxzsbIB3MqiEkejM6,"SELENE",3B,USANG2210339
16,"Crush","FLETCHER",53,100,"alt z, pop","Pop","In Search Of The Antidote",2024-03-22,02:24,59,40,17,0,24,0,0,-8,D Major,4,2024-04-30,4onuVDT23p1Bhl1Joc02td,"Capitol Records",10B,USUG12400524
17,"Bright Lights","HAEVN",2,98,"dutch pop","Pop","Eyes Closed",2018-09-14,03:44,69,35,52,2,30,0,10,-12,D Minor,4,2024-04-30,0jSx0CwOXVxqbmip7RuI18,"HAEVN Music",7A,NLL8M1600262
18,"Anti-Sociable","Craig Lucas",33,98,"cape town indie, south african pop, south african pop dance","Electronic, Pop, World/Traditional","Anti-Sociable",2019-06-28,02:58,78,41,22,0,70,20,10,-8,B Minor,4,2024-04-30,0We8l5SKiLg7lS6LtgmaYV,"Universal Music (Pty) Ltd.",10A,ZAUM71900528
19,"Jamming","Juzzie Smith",31,96,"australian blues","Blues","Rise and Shine",2015-06-01,02:48,75,62,1,65,64,10,0,-7,A Major,4,2024-04-30,7rrjFbSVovHeRV8slG9NEd,"Juzzie Smith",11B,AUVR12103379
