#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"rEaR vIeW","ZAYN",49,96,"pop, uk pop","Pop","Mind Of Mine (Deluxe Edition)",2016-03-25,03:21,72,61,61,0,69,0,10,-5,A Minor,4,2024-04-30,6LWS6iYUZKYHNl2VwNytpo,"RCA Records Label",8A,USRC11600391
2,"Move Me","Liyr",25,98,"","","Move Me",2018-07-20,03:20,69,36,70,0,54,0,20,-9,F Minor,4,2024-04-30,7yYkpuZnIw4HQVSe7YHfWY,"Liyr",4A,ushm21880330
3,"Drive Slow","Carly Paige",21,101,"la pop","Pop","Drive Slow",2018-02-09,02:56,87,53,48,0,50,0,10,-8,A#/B♭ Major,4,2024-04-30,6pu3UrqCDnRPzWXNLGqVDk,"Carly Paige",6B,QZ5AB1845025
4,"Curious","Hayley Kiyoko",48,104,"alt z, indie poptimism, pop","Pop","Expectations",2018-03-30,03:03,79,70,8,0,44,10,30,-6,C♯/D♭ Minor,4,2024-04-30,5btaVjrLBxTvXNmCv5DrW2,"Atlantic Records",12A,USAT21800186
5,"Homemade Dynamite","Lorde",58,107,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Melodrama",2017-06-16,03:09,77,43,29,0,27,0,0,-5,A#/B♭ Major,4,2024-04-30,02oAUzv4M0ItuTDy2RT3IT,"Universal Music New Zealand Limited",6B,NZUM71700066
6,"Hands To Myself","Selena Gomez",65,111,"pop, post-teen pop","Pop","Revival (Deluxe)",2015-10-09,03:20,81,51,1,0,44,10,30,-7,F Minor,4,2024-04-30,3CJvmtWw2bJsudbAC5uCQk,"Selena Gomez PS",4A,USUM71513592
7,"Are You All Alone?","Lyrah",23,105,"","","Chemicals",2019-02-28,03:56,55,45,47,1,50,0,10,-11,G#/A♭ Minor,4,2024-04-30,2qj4zNNhbdy45TfO45HarO,"Lyrah",1A,QZDA71957471
8,"Could","Elderbrook",44,201,"uk dance","Electronic","Simmer Down",2015-06-25,03:39,73,24,83,1,56,30,10,-13,G Major,4,2024-04-30,3FjHWRfmNNYClBLZVtQAYT,"Black Butter Records",9B,GBMKA1486359
9,"Stay","Stephen,Lindsey Cook",30,98,"la pop, ","Pop","Stay",2018-02-09,03:47,64,70,54,0,47,0,0,-5,F#/G♭ Minor,4,2024-04-30,3biyr4jOeDVItBxBI7ZXgH,"Monstercat",11A,CA6D21800025
10,"feelings","EMELINE",52,95,"alt z","Pop","feelings",2023-03-03,02:20,69,79,3,0,78,30,30,-6,B Minor,4,2024-04-30,7yLfsctj9g0z2NB3v3IGcz,"Capitol Records",10A,USUG12301301
11,"Monica Lewinsky","UPSAHL",37,92,"alt z, modern indie pop","Pop","Monica Lewinsky",2022-05-20,02:12,67,84,3,0,60,0,20,-3,A Major,4,2024-04-30,5pz38Kxq8O8fnCY7PAWkoQ,"Arista Records",11B,USAR12200213
12,"Bed (feat. Ariana Grande)","Nicki Minaj,Ariana Grande",60,90,"hip pop, pop, queens hip hop, rap","Pop, Hip Hop","Queen",2018-08-10,03:09,76,73,3,0,45,10,10,-6,G Major,4,2024-04-30,3L4GsGLgxpHieVQH86H8bv,"Young Money/Cash Money Records",9B,USCM51800135
13,"Devil Is A Woman","Cloudy June",44,92,"alt z","Pop","Devil Is A Woman",2022-12-09,03:12,68,75,19,0,62,0,10,-6,A#/B♭ Minor,4,2024-04-30,75hCdrSo0x1La6xUNGnvGv,"Columbia/IRRSINN Aufnahmen",3A,DEE862201875
14,"Seasons","Chloe Adams",32,92,"alt z","Pop","Seasons",2022-05-13,02:43,70,64,21,0,54,0,0,-5,C♯/D♭ Major,4,2024-04-30,0MFcHhvR5m18zHafeLSqob,"Chloe Adams",3B,FR59R2284924
15,"SAD B!TCH","Anne-Marie",44,194,"pop","Pop","SAD B!TCH",2023-02-03,02:12,54,69,30,0,62,10,10,-3,C Minor,4,2024-04-30,4nfyxpiejEPrUHLnejED7i,"Atlantic Records UK",5A,GBAHS2201482
16,"Mangos mit Chili","Nina Chuba",55,103,"german pop, hamburg hip hop","Pop, Hip Hop","Mangos mit Chili",2023-02-03,02:14,89,61,15,0,73,10,10,-6,A#/B♭ Minor,4,2024-04-30,11eYmv0tA3wEoyD1Sad2Nv,"Jive",3A,DEE862201561
17,"GIVE IT UP","Berywam",32,105,"beatboxing","Hip Hop","Give It Up",2021-04-30,03:29,69,53,2,0,71,0,20,-6,F Minor,4,2024-04-30,6Xxoo5GaI3RRj41EPODOeW,"Universal Music Division Label Panthéon",4A,FRUM72100562
18,"Blow Your Mind (Mwah)","Dua Lipa",45,109,"dance pop, pop, uk pop","Pop","Dua Lipa (Complete Edition)",2017-06-02,02:59,69,77,2,0,50,10,0,-5,D Minor,4,2024-04-30,6KnWE3VTumLX4iIz7bvRh3,"Urban",7A,DEUM71601954
19,"SloMo","Chanel",55,105,"","","SloMo",2021-12-24,02:56,73,81,13,0,59,0,0,-3,C♯/D♭ Minor,4,2024-04-30,0T71AvVXY4RB65tvdIyzdO,"BMG Rights Management and Administration (Spain) S.L.U",12A,ES94B2100282
20,"Slow Low","Jason Derulo",51,185,"dance pop, pop","Pop","Slow Low",2023-06-08,03:04,49,77,5,0,52,0,40,-6,F#/G♭ Minor,4,2024-04-30,4MQXkF0FjdlqEHy73IZfoO,"Atlantic Records",11A,USAT22305247
21,"Mami","Piso 21,Black Eyed Peas",48,178,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino, dance pop, pop, pop rap","Pop, Hip Hop, Latin","Mami",2019-08-09,03:49,72,70,61,0,69,10,10,-4,E Minor,4,2024-04-30,3bDD7GGvIzAZeHz2TOYD3A,"WM Mexico",9A,MXF151900293
22,"Tough (feat. Noah Kahan)","Quinn XCII,Noah Kahan",56,93,"indie pop rap, pov: indie, singer-songwriter pop","Hip Hop, Pop","From Michigan With Love",2019-02-15,02:58,73,57,39,0,69,0,10,-7,A#/B♭ Major,4,2024-04-30,3a1Zmq0P1E6W80x8EOcVNP,"Columbia",6B,USSM11809011
23,"Who Do You Know In Heaven","The Five Keys",6,95,"doo-wop, rhythm and blues, vocal harmony group","Blues, Easy listening","Best Of The Capitol Years",2011-01-01,02:20,60,18,84,0,48,0,0,-14,G Major,4,2024-04-30,1npGpM9CpQ6sfL9WxlbZp0,"Capitol Records",9B,USCA28901163
24,"Give a Little (feat. Naila)","Ash,Naila",50,93,"arab electronic, ","Electronic","Give a Little (feat. Naila)",2018-01-30,03:54,66,58,46,0,76,0,10,-8,D#/E♭ Minor,4,2024-04-30,5TjdmkuqqjkyIIVuDqyFPE,"Ash",2A,QZARB1804671
25,"Sting","FLETCHER",46,95,"alt z, pop","Pop","Girl Of My Dreams",2022-09-16,03:07,54,62,24,0,42,0,10,-7,F Minor,4,2024-04-30,1KA2L49RNYQzMe3LJJs7Tj,"Fletcher - Snapback Entertainment",4A,USUG12205042
