#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Catch & Release - Deepend Remix","Matt Simons,Deepend",58,105,"neo-singer-songwriter, deep house, tropical house","Electronic, Pop","Catch & Release",2016-01-15,03:16,84,50,51,0,11,0,10,-10,C♯/D♭ Minor,4,2024-10-06,11Yp4S3WZA7yqWIbUmMJSd,"[PIAS] Recordings Holland",12A,NLE3T1400013
2,"Super Far","LANY",67,96,"la pop, opm","Pop","LANY",2017-06-30,03:23,57,46,10,0,46,10,20,-7,C♯/D♭ Major,4,2024-10-06,15ahYSiHAIMxAnujlXVtta,"Polydor Records",3B,GBUM71700710
3,"Go Crazy","Chris Brown,Young Thug",72,94,"r&b, rap, atl hip hop, atl trap, gangster rap, hip hop, melodic rap, trap","Hip Hop, R&B","Slime & B",2020-05-08,02:56,76,58,32,0,58,10,20,-9,C Minor,4,2024-10-06,1IIKrJVP1C9N7iPtG6eOsK,"Chris Brown Entertainment/300 Entertainment/RCA Records",5A,USRC12001468
4,"A LOT","John K",45,91,"singer-songwriter pop","Pop","A LOT",2022-01-14,03:01,90,39,60,0,55,0,10,-9,F Major,4,2024-10-06,1cRY1p6f4k8B1fGt7hnP5H,"Epic",7B,USSM12109415
5,"AFU","CAL",30,94,"","","The Identity Crisis: Side A",2019-11-15,03:07,83,78,16,1,89,0,0,-5,E Minor,4,2024-10-06,4SHxc1WUhxVKWgEa1kLvO8,"Photo Finish Records",9A,GBKPL1973930
6,"Mess","Jordan Fisher",34,97,"movie tunes, post-teen pop","Easy listening, Pop","Mess",2017-10-06,03:47,79,38,3,0,43,0,10,-12,C Major,4,2024-10-06,063lgLAm6mwLaTbKerUL19,"Hollywood Records",8B,USHR11738177
7,"I Like You (A Happier Song) (with Doja Cat)","Post Malone,Doja Cat",76,101,"dfw rap, melodic rap, pop, rap, dance pop","Pop, Hip Hop","Twelve Carat Toothache",2022-06-03,03:12,73,67,12,0,47,0,10,-6,F Major,4,2024-10-06,0O6u0VJ46W86TxN9wgyqDj,"Mercury Records/Republic Records",7B,USUM72208023
8,"SOMEONE'S SOMEONE","MONSTA X",47,95,"k-pop, k-pop boy group","Pop","ALL ABOUT LUV",2020-02-13,02:21,82,45,18,0,46,30,10,-7,F Major,4,2024-10-06,5eU51YmH3XzhzNRzkJns27,"Epic",7B,USSM11906766
9,"In My Bones","Ray Dalton",51,97,"pop dance","Electronic","In My Bones",2020-01-17,03:09,64,70,30,0,71,0,20,-4,F Minor,4,2024-10-06,6yHVyMdC08djbP86mdkP3G,"Epic Local",4A,DEE861904366
10,"Familiar","Liam Payne,J Balvin",55,93,"pop, reggaeton, reggaeton colombiano, trap latino, urbano latino","Pop, Latin","Familiar",2018-04-20,03:16,64,81,2,0,91,30,0,-5,A Major,4,2024-10-06,0Y4hwUppbGc8aIBmiTz30A,"Capitol Records UK / EMI",11B,GBUM71800362
11,"Lush Life","Zara Larsson",81,98,"pop, scandipop, swedish electropop, swedish pop","Pop","So Good",2017-03-17,03:21,69,71,13,0,80,0,20,-4,G Minor,4,2024-10-06,1rIKgCH4H52lrvDcz50hS8,"Epic/Record Company TEN",6A,SEWEE1500509
12,"Who's In Your Head","Jonas Brothers",52,101,"boy band, pop","Pop","Who's In Your Head",2021-09-17,03:03,70,78,0,0,82,10,0,-5,F Major,4,2024-10-06,5nhW8I46uDE5sc5ouEbzao,"Republic Records",7B,USUG12103657
13,"Don't Call Me Up","Mabel",71,99,"pop, uk pop","Pop","Ivy To Roses (Mixtape)",2019-01-18,02:58,67,88,30,0,23,10,0,-3,A Major,4,2024-10-06,5WHTFyqSii0lmT9R21abT8,"Polydor Records",11B,GBUM71808052
14,"Hymn for the Weekend - Seeb Remix","Coldplay,Seeb",64,102,"permanent wave, pop, pop dance","Rock, Pop, Electronic","Hymn for the Weekend (Seeb Remix)",2016-03-25,03:32,56,85,1,0,43,0,10,-4,C Minor,4,2024-10-06,6s3GEN8wK0OMzzzZbXj0fu,"Parlophone UK",5A,GBAYE1600763
15,"Let Down Your Hair","Tatum Lynn",2,103,"","","Let Down Your Hair",2020-11-06,03:15,74,77,9,0,45,0,10,-6,A#/B♭ Major,4,2024-10-06,2gGFFtfGcR4Ev3wTNrVRjJ,"BridgeTone",6B,US4ML2000002
16,"ISOU","SHAED",26,101,"electropop","Pop","ISOU / Thunder",2019-05-31,03:33,64,45,10,0,35,0,0,-6,F#/G♭ Minor,4,2024-10-06,0ts61Ufav0d4yyT3SLzF1q,"Photo Finish Records",11A,QZ47A1900208
17,"Can't Tell Yah","Laai",19,105,"","","Can't Tell Yah",2021-05-14,02:42,86,57,54,0,79,0,20,-7,F#/G♭ Major,4,2024-10-06,0tXa2arL0ISIdAMLiqyKRw,"1403020 Records DK2",2B,QZES92191144
18,"Done for Me (feat. Kehlani)","Charlie Puth,Kehlani",65,112,"pop, viral pop, r&b, rap","Pop, R&B, Hip Hop","Voicenotes",2018-05-11,03:00,86,63,19,0,70,0,0,-4,F#/G♭ Minor,4,2024-10-06,1lsBTdE6MGsKeZCD6llNu7,"Artist Partner",11A,USAT21702279
19,"Hope","The Chainsmokers,Winona Oak",61,105,"pop, swedish pop","Pop","Sick Boy",2018-12-14,03:00,77,70,49,0,51,10,0,-6,C♯/D♭ Minor,4,2024-10-06,4BiiOzZCrXEzHRLYcYFiD5,"Disruptor Records/Columbia",12A,USQX91803485
20,"Friends","Justin Bieber,BloodPop®",33,105,"canadian pop, pop, electropop","Pop","Liburan Bareng",2020-11-20,03:09,74,74,0,0,63,0,30,-5,G#/A♭ Major,4,2024-10-06,1LkqHH1SSJdX49ZHfFO2U8,"UME - Global Clearing House",4B,USUM71709101
21,"Automatic Yes (feat. John Mayer)","Zedd,John Mayer",57,98,"complextro, edm, german techno, pop, pop dance, neo mellow, singer-songwriter","Electronic, Folk/Acoustic, Pop","Telos",2024-08-30,03:25,69,83,5,3,72,0,10,-6,D Minor,4,2024-10-06,6oAwQp0fXsZObpl5PLl2GN,"Interscope Records",7A,USUM72406440
22,"Know Your Worth","Khalid,Disclosure",62,103,"pop, pop r&b, edm, house, indietronica, uk dance","Electronic, Pop, R&B","Know Your Worth",2020-02-04,03:01,79,69,14,0,51,0,20,-8,A Minor,4,2024-10-06,0TrPqhAMoaKUFLR7iYDokf,"Right Hand Music Group, LLC/RCA Records",8A,USRC11903871
23,"Happy?","Caye",53,96,"boston hip hop","Hip Hop","Happy?",2020-06-01,02:32,84,35,23,0,37,0,10,-8,G Major,4,2024-10-06,7be22MgvhiUfHsLQG1ffMs,"Caye",9B,QM24S2005504
24,"Love Again","Milky Chance",48,96,"german pop, modern rock","Pop, Rock","Trip Tape",2021-11-03,03:18,80,52,24,43,47,10,10,-10,A#/B♭ Minor,4,2024-10-06,5ti4MjhnxmSYstOAQ1JxU0,"Muggelig Records GmbH",3A,DEVP22100014
25,"Burgundy","Wit Blu",15,96,"","","Burgundy",2018-05-25,02:55,69,44,34,0,36,20,0,-11,A#/B♭ Minor,4,2024-10-06,7rmrFZ6iKHwQ9fyWT4ISYC,"Blanket Fort",3A,QM78L1800066
26,"Steal The Show","Lauv",71,92,"pop","Pop","Elemental (Original Motion Picture Soundtrack)",2023-06-16,03:12,62,46,33,0,42,0,20,-13,G Major,4,2024-10-06,0SccFtYdj75y6lL2OW10Cf,"Walt Disney Records",9B,USWD12326770
27,"Don't You Worry","Mark Ambor",51,93,"singer-songwriter pop","Pop","Don't You Worry",2022-07-15,02:42,51,72,21,0,54,0,10,-7,G Major,4,2024-10-06,3tafswzuVvZR2OZuRCPITd,"Hundred Days Records, LLC",9B,QM24S2202924
28,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer,Justin Bieber,MØ",74,93,"dance pop, edm, electro house, moombahton, pop, pop dance, canadian pop, danish pop, electropop","Pop, Electronic","Cold Water (feat. Justin Bieber & MØ)",2016-07-22,03:05,61,80,7,0,50,0,10,-5,F#/G♭ Minor,4,2024-10-06,6Bjtr3tPdto5nyuLYf61sN,"Third Pardee Records",11A,QMUY41600027
