#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Back in the Water","HAEVN",5,188,"dutch pop","Pop","Eyes Closed",2018-09-14,03:10,56,44,84,0,31,0,10,-12,C Minor,4,2024-06-09,1EpMvEVHU883c7m6PzcsAj,"HAEVN Music",5A,NLP7E1800002
2,"Sad Girl","Charlotte Cardin",31,91,"canadian pop, indie quebecois","Pop, Blues","Phoenix",2021-04-23,03:15,63,43,20,0,20,0,10,-7,G Minor,3,2024-06-09,3uoNlHCGA9Vlpcs49KtIqc,"Atlantic Records",6A,USAT22006857
3,"Glow","Susan H",26,192,"","","Glow",2019-12-27,02:57,61,57,70,32,39,0,10,-10,C Minor,4,2024-06-09,03DcHsTJjJDLKuNkRW2WLi,"streamscancometrue",5A,NL65X1900021
4,"feelings","EMELINE",52,95,"alt z","Pop","feelings",2023-03-03,02:20,69,79,3,0,78,30,30,-6,B Minor,4,2024-06-09,7yLfsctj9g0z2NB3v3IGcz,"Capitol Records",10A,USUG12301301
5,"Mangos mit Chili","Nina Chuba",55,103,"german pop, hamburg hip hop","Pop, Hip Hop","Mangos mit Chili",2023-02-03,02:14,89,61,15,0,73,10,10,-6,A#/B♭ Minor,4,2024-06-09,11eYmv0tA3wEoyD1Sad2Nv,"Jive",3A,DEE862201561
6,"Forgive Me","Sofi Tukker,Mahmut Orhan",48,100,"edm, turkish deep house, turkish edm","Electronic","WET TENNIS",2022-04-29,03:45,62,69,17,0,46,10,0,-8,F Minor,4,2024-06-09,5T6dWZIl0ePMxWUzKQbhji,"Ultra Records, LLC",4A,QM37X2100014
7,"Curious","Hayley Kiyoko",48,104,"alt z, indie poptimism, pop","Pop","Expectations",2018-03-30,03:03,79,70,8,0,44,10,30,-6,C♯/D♭ Minor,4,2024-06-09,5btaVjrLBxTvXNmCv5DrW2,"Atlantic Records",12A,USAT21800186
8,"For You","Why Don't We",38,115,"boy band, pop","Pop","The Good Times and The Bad Ones",2021-01-15,03:22,75,68,36,0,56,0,0,-5,G#/A♭ Minor,4,2024-06-09,5gHebW3Md8ESmWyASqb5pR,"Atlantic Records",1A,USAT22007279
9,"Move Me","Liyr",25,98,"","","Move Me",2018-07-20,03:20,69,36,70,0,54,0,20,-9,F Minor,4,2024-06-09,7yYkpuZnIw4HQVSe7YHfWY,"Liyr",4A,ushm21880330
10,"Memory Lane","Zara Larsson",60,96,"pop, scandipop, swedish electropop, swedish pop","Pop","Memory Lane & Winter Song",2023-11-24,03:12,64,66,49,0,53,0,10,-5,F#/G♭ Major,4,2024-06-09,7hHrs2q5c5rtzHLJ2DKHTT,"Sommer House/Epic",2B,USSM12308229
