#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Pieces (Hushed)","Andrew Belle",47,70,"acoustic pop","Pop","Black Bear (Hushed)",2014-10-07,03:18,52,28,89,0,10,0,10,-11,F Minor,4,2024-06-09,3us8sod4dLbM9FiMiPiEY8,"1L Music Inc.",4A,US8D61400011
2,"LA On A Saturday Night","Hearts & Colors",45,82,"channel pop","Pop","LA On A Saturday Night",2018-10-19,03:15,59,59,12,0,34,0,10,-5,A#/B♭ Major,4,2024-06-09,0dbp9YwlGEzXmxavRMgZ4T,"Universal-Island Records Ltd.",6B,SE4RG1813901
3,"Calm Down - Acoustic Slow + Reverb","Jonah Baker",10,85,"acoustic cover","Pop","Calm Down",2023-06-14,02:58,57,16,91,0,37,0,10,-16,A#/B♭ Major,4,2024-06-09,3sYQyYBFcDyb3UyUA7QDHR,"Tristar Records",6B,UK42F2300115
4,"Skin","LUME",25,85,"indie electropop","Pop","Tip of Your Thumb",2018-04-19,03:18,64,36,15,0,27,0,10,-11,B Major,4,2024-06-09,5ChAQCyNbTY7hR7EUb1AV7,"Hand 5 Records",1B,US23A1500723
5,"Bulletproof","Dotter",37,190,"swedish pop","Pop","Bulletproof",2020-02-22,03:06,46,61,6,0,35,0,20,-5,B Minor,4,2024-06-09,4RcEx6TvICENelSh3O7gvu,"WM Sweden",10A,SEPQA2000003
6,"Weißes Haus","AYLIVA",62,83,"german pop","Pop","Schwarzes Herz",2023-08-25,02:48,63,44,51,0,52,30,30,-9,A#/B♭ Major,4,2024-06-09,2EbO8k2jAHVRMVvUB77nNt,"Whiteheart Records/WM Germany",6B,DEA622301542
7,"Moment","King Henry,Rhye",34,160,"la pop, art pop, downtempo, electronica, indie soul, indietronica, shimmer pop","Pop, Electronic, R&B","Moment",2017-08-04,03:46,71,27,70,2,32,0,10,-10,G Minor,4,2024-06-09,63UAXRoiKXNKEMkWwt29ik,"Duke City",6A,GBARL1701385
8,"Get Low","James Vincent McMorrow",46,75,"chamber pop, indie folk, irish singer-songwriter, stomp and holler","Pop, Folk/Acoustic","We Move",2016-09-02,04:10,47,21,28,0,16,10,10,-13,A Minor,4,2024-06-09,0R4ZIyB0wMl4rVN8MLZsbk,"Believe Recordings",8A,IEDNV1600006
9,"Way down We Go","KALEO",81,163,"icelandic indie, icelandic rock, modern alternative rock","Classical, Rock","A/B",2016-06-10,03:33,49,51,58,0,34,10,10,-8,A#/B♭ Minor,4,2024-06-09,0y1QJc3SJVPKJ1OvFmFqe6,"Elektra (NEK)",3A,USAT21502122
10,"Then","Anne-Marie",45,112,"pop","Pop","Speak Your Mind (Deluxe)",2018-04-27,03:34,54,54,44,0,38,10,10,-5,D Minor,3,2024-06-09,4iiOb1mdmh0PCYI4BZYUU9,"Atlantic Records UK",7A,GBAHS1701213
11,"Must Have Been The Wind","Alec Benjamin",57,89,"alt z, pop, pov: indie","Pop","These Two Windows",2020-05-29,02:57,65,64,78,0,36,0,10,-6,G Major,4,2024-06-09,6lERHAmBCZmgODv3OYENXi,"P2020",9B,USAT21903478
12,"Little Lover","Nick Broadhurst",17,90,"","","Thank You",2018-06-29,03:59,49,28,70,0,20,0,10,-8,E Minor,4,2024-06-09,4l4CdUmn5BSPRepMwXl3LR,"Broadhurst Holdings",9A,AUZN31500315
13,"Mr. Sandman - Piano and Violin Version","SYML",34,96,"modern indie pop","Pop","Mr. Sandman",2017-05-12,03:26,19,20,83,85,3,0,0,-18,A Minor,4,2024-06-09,4CpJmN7mT5nSxDT3F8BL1v,"Nettwerk Music Group",8A,CAN111700077
14,"Forever - Stripped","FLETCHER",31,101,"alt z, pop","Pop","Forever (Stripped)",2020-05-08,03:21,51,41,61,0,25,0,10,-7,A Major,4,2024-06-09,1gV5Nbn0rZFDDQQHgdgHVD,"Capitol Records",11B,USUG12001374
15,"Sweater Weather","Kurt Hugo Schneider,Alyson Stoner",54,124,"viral pop, post-teen pop","Pop","Kurt & Company Vol 2",2017-06-16,03:48,61,33,88,0,40,0,10,-8,A#/B♭ Major,4,2024-06-09,0kn9QwZW8Ow9eTuZgxVEz8,"mudhutdigital.com",6B,GBDMT1400008
16,"Baptize","RKCB",32,90,"indie electropop, indie poptimism, vapor soul","Pop, R&B","Baptize",2015-10-21,04:07,41,30,87,0,19,0,10,-10,G Major,4,2024-06-09,06DkevSU67Vdlpoq4mxNWm,"AllPoints",9B,TCACJ1521664
17,"Drop Dead","Holly Humberstone",41,90,"alt z, indie pop, modern alternative pop, uk pop","Pop","Drop Dead",2020-08-11,02:57,58,39,59,0,13,0,0,-7,C Major,4,2024-06-09,3i4CFXy3ezQZEt8V0GA7Uh,"Platoon",8B,UKW522000004
18,"Oxygen","Emeli Sandé",31,86,"r&b, talent show, uk pop","R&B, Pop","Let's Say For Instance",2022-05-06,03:59,49,49,46,0,22,0,10,-6,F#/G♭ Major,4,2024-06-09,3WKOxEG2A31zdaw96U3O4A,"Chrysalis Records",2B,UKKP22100470
