#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Weekend Luv","Quinn Lewis",22,85,"singer-songwriter pop","Pop","Weekend Luv",2018-04-27,03:07,64,44,41,0,70,0,0,-8,A Major,4,2024-10-17,4vLzVx8FMzqXj6C5zl0QGF,"Quinn Lewis",11B,GBKPL1805130
2,"A Prayer","JNR WILLIAMS",33,78,"british soul","R&B","A Prayer",2019-02-15,03:24,38,64,32,0,44,20,0,-7,A#/B♭ Minor,1,2024-10-17,4SX4NUI58M3KhbalXxjwFC,"Insanity Records",3A,GBARL1900076
3,"Down","Brandyn Burnette",27,75,"","","Made of Dreams - EP",2015-11-13,02:52,63,49,52,0,36,20,10,-7,G Minor,4,2024-10-17,1ksSib2GsrP1wqkpOPdHnY,"Home Planet Records",6A,USUYG1083945
4,"Monsters","Ruelle",47,85,"metropopolis","Electronic","Nashville Indie Spotlight 2016",2015-11-20,03:20,70,47,41,0,50,0,0,-8,A Major,4,2024-10-17,6h8cMgIaxFJWOrsw2O7bVb,"Tone Tree Music",11B,QMF921550171
5,"Loverboy","Mattis",11,90,"scandinavian r&b","R&B","Loverboy",2017-05-17,03:28,62,57,53,6,20,10,10,-8,G#/A♭ Major,4,2024-10-17,2ks1i7dumYRliNhPuxzQLm,"WM Germany",4B,DKADG1700174
6,"Dusk Till Dawn (feat. Sia) - Radio Edit","ZAYN,Sia",70,180,"pop, uk pop","Pop","Dusk Till Dawn (feat. Sia) [Radio Edit]",2017-09-07,03:59,26,44,10,0,10,0,10,-7,B Minor,4,2024-10-17,1j4kHkkpqZRBwE0A4CN4Yv,"RCA Records Label",10A,USRC11702155
7,"Walls - Naked Edition","Ruben",48,90,"norwegian pop","Pop","Walls (Naked Edition)",2018-02-23,02:59,54,46,73,0,46,0,20,-8,G Major,4,2024-10-17,7M0G5wRuoISYiCDytDxEFz,"Universal Music AS",9B,NOKAW1801010
8,"Gone","Phlake,Alina Baraz",37,140,"danish pop, scandinavian r&b, etherpop","Pop, R&B","Weird Invitations",2017-10-06,03:34,51,25,95,0,19,0,10,-10,F Minor,3,2024-10-17,1bTznoPGxp3ygLTHReQtIh,"Sony Music Entertainment",4A,DKADG1700264
9,"Fear of the Water","SYML",60,93,"modern indie pop","Pop","Hurt for Me",2016-11-18,04:05,46,21,95,88,15,0,10,-18,G Minor,4,2024-10-17,3jVniYVNCrwQvvWJpReosr,"Nettwerk Music Group",6A,TCACQ1628747
10,"Bottle Tops","RITUAL,Mononoke",34,102,"indie electropop, vapor soul, ","Pop, R&B","Every Night Another But Not You",2016-10-28,04:37,40,40,27,0,9,10,10,-11,E Minor,4,2024-10-17,0DU88MhtGfzyCvt3YZijfL,"Universal-Island Records Ltd.",9A,GBUM71604603
