#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo,Nicki Minaj,Ty Dolla $ign",69,98,"dance pop, pop, hip pop, queens hip hop, rap, hip hop, pop rap, r&b, southern hip hop, trap, trap soul","Pop, Hip Hop, R&B","Swalla (feat. Nicki Minaj & Ty Dolla $ign)",2017-02-23,03:36,69,79,15,0,75,10,20,-5,C♯/D♭ Major,4,2023-10-30,6kex4EBAj0WHXDKZMEJaaF,"Beluga Heights/Warner Records",3B,USWB11700237
2,"A Different Way (with Lauv)","DJ Snake,Lauv",63,105,"dance pop, edm, electronic trap, pop, pop dance","Pop, Electronic, Hip Hop","A Different Way (with Lauv)",2017-09-21,03:18,78,76,50,0,59,0,10,-4,G#/A♭ Major,4,2023-10-30,1YMBg7rOjxzbya0fPOYfNX,"Geffen",4B,USUG11701418
3,"Myself","Bazzi",61,196,"pop","Pop","COSMIC",2018-04-12,02:47,75,56,47,0,90,0,0,-6,A Minor,4,2023-10-30,5YLHLxoZsodDWjqSgjhBf3,"iamcosmic",8A,USAT21801524
4,"Wet Tennis","Sofi Tukker",39,95,"edm","Electronic","WET TENNIS",2022-04-29,02:34,62,80,9,0,76,0,10,-6,G Major,4,2023-10-30,5Sw2EtNVnhiR4nVAD5tsNw,"Ultra Records, LLC",9B,QM37X2100015
5,"Pressure, Pt. II","James Vickery,Sinéad Harnett,SG Lewis",44,93,"uk contemporary r&b, alternative r&b, gauze pop, electropop, indie soul, uk dance, vapor soul","R&B, Pop, Electronic","Pressure, Pt. II",2020-07-01,02:49,67,60,11,0,73,0,20,-5,E Minor,4,2023-10-30,6Iu2vSFPHz6G80hfZk2JAK,"TH3RD BRAIN",9A,GBKPL2010419
6,"Triggerfinger","Donkeyboy",28,90,"norwegian pop","Pop","Triggerfinger",2013-08-23,03:10,70,80,6,0,86,0,20,-3,F#/G♭ Minor,4,2023-10-30,1yrodVH5NhUFyuOt1f6Der,"WM Norway",11A,NOAGW1300369
7,"Chosen (feat. Ty Dolla $ign)","Blxst,Tyga,Ty Dolla $ign",68,93,"pop rap, westcoast flow, hip hop, rap, southern hip hop, trap, r&b, trap soul","Hip Hop, R&B, Pop","No Love Lost (Deluxe)",2020-12-04,02:41,57,77,34,0,61,20,0,-5,D Major,4,2023-10-30,1dIWPXMX4kRHj6Dt2DStUQ,"Red Bull Records Inc. / Evgle LLC",10B,USP6L2000552
8,"Tip Toe (feat. French Montana)","Jason Derulo,French Montana",56,98,"dance pop, pop, hip hop, pop rap, rap, southern hip hop, trap","Pop, Hip Hop","Tip Toe (feat. French Montana)",2017-11-10,03:07,85,70,2,0,65,0,0,-5,A#/B♭ Minor,4,2023-10-30,2z4pcBLQXF2BXKFvd0BuB6,"Beluga Heights/Warner Records",3A,USWB11702102
9,"Influence","Tove Lo,Wiz Khalifa",43,105,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop, hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap","Pop, Hip Hop, Electronic","Lady Wood",2016-10-28,03:44,77,59,10,0,33,0,10,-10,F Minor,4,2023-10-30,6IFwG4pnVPcpwX4kXFUbsV,"Universal Music AB",4A,SEUM71601195
10,"Señorita","Shawn Mendes,Camila Cabello",75,117,"canadian pop, pop, viral pop, dance pop","Pop","Señorita",2019-06-21,03:10,76,54,4,0,75,0,0,-6,A Minor,4,2023-10-30,0TK2YIli7K1leLovkQiNik,"Island Records",8A,USUM71911283
11,"Tick Tock (feat. 24kGoldn)","Clean Bandit,Mabel,24kGoldn",63,101,"pop, uk dance, uk funky, uk pop, cali rap, pop rap","Hip Hop, Pop, Electronic","Tick Tock (feat. 24kGoldn)",2020-08-21,02:58,78,71,37,0,95,0,10,-4,C Major,4,2023-10-30,27u7t9d7ZQoyjsCROHuZJ3,"Atlantic Records UK",8B,GBAHS2000775
12,"2step","Ed Sheeran",62,95,"pop, singer-songwriter pop, uk pop","Pop","=",2021-10-25,02:33,76,66,17,0,63,0,10,-6,E Minor,4,2023-10-30,2SUxn2O9NHL6GHGQFgwCY0,"Atlantic Records UK",9A,GBAHS2100677
13,"A LOT","John K",45,91,"singer-songwriter pop","Pop","A LOT",2022-01-14,03:01,90,39,60,0,55,0,10,-9,F Major,4,2023-10-30,1cRY1p6f4k8B1fGt7hnP5H,"Epic",7B,USSM12109415
14,"Postcards in the Sky","David Archuleta",21,86,"idol, lds youth, post-teen pop","Pop","Postcards in the Sky",2017-10-20,03:46,62,56,4,0,41,0,10,-7,A#/B♭ Major,4,2023-10-30,3D47LDGgt14vVllOnGJfyU,"Archie Music / Tone Tree Music",6B,TCADG1789208
15,"The Traveller","The Fedz",22,92,"british soul","R&B","The Traveller",2018-05-11,02:52,70,58,21,0,60,0,20,-6,F Major,4,2023-10-30,4JuIhan7M8EJ3o85jRgAms,"Mi7 Records",7B,QM4TW1884417
16,"Mean It","Lauv,LANY",75,96,"pop, la pop, opm","Pop","~how i'm feeling~",2020-03-06,03:52,75,45,4,0,33,0,10,-9,G Major,4,2023-10-30,6mXdCcFnPKQznj4CmMRmHC,"Lauv",9B,GBKPL1969288
17,"bellyache","Billie Eilish",77,100,"art pop, pop","Pop","Bellyache",2017-02-24,02:59,70,57,46,7,41,10,40,-9,E Minor,4,2023-10-30,51NFxnQvaosfDDutk0tams,"Darkroom",9A,USUM71615103
18,"Nervous (The Ooh Song) - Mark McCabe Remix","Gavin James,Mark McCabe",43,104,"irish pop","Pop","Nervous (The Ooh Song) [Mark McCabe Remix]",2016-06-24,03:15,43,87,7,0,37,0,30,-6,G Major,4,2023-10-30,0L9lXMXddmoBbBUeF7A9An,"Sony Music Entertainment",9B,GB45A1600398
19,"Could","Elderbrook",44,201,"uk dance","Electronic","Simmer Down",2015-06-25,03:39,73,24,83,1,56,30,10,-13,G Major,4,2023-10-30,3FjHWRfmNNYClBLZVtQAYT,"Black Butter Records",9B,GBMKA1486359
20,"Poison","NEZZA",27,96,"","","Poison",2022-10-28,02:44,72,58,3,0,65,20,30,-5,C♯/D♭ Major,4,2023-10-30,2lYpy9kTn2sVE6s3UxsR6Q,"Virgin Music Latin / UNLSTD MUSIC LLC",3B,QZTAN2200011
21,"Thief","Ansel Elgort",48,180,"post-teen pop, teen pop","Pop","Thief",2017-01-27,03:40,59,74,3,0,38,0,10,-4,C♯/D♭ Minor,4,2023-10-30,3BtA1koBtnClfirgg4BpjI,"Island Records",12A,USUM71700298
22,"all the good girls go to hell","Billie Eilish",73,185,"art pop, pop","Pop","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,02:48,73,44,28,14,57,30,10,-9,G#/A♭ Minor,4,2023-10-30,6IRdLKIyS4p7XNiP8r6rsx,"Darkroom/Interscope Records",1A,USUM71900766
23,"Space Ghost Coast To Coast","Glass Animals",61,101,"gauze pop, indietronica, modern rock, pov: indie, shiver pop","Pop, Rock","Dreamland",2020-08-07,03:07,90,53,11,0,35,0,10,-10,G#/A♭ Major,4,2023-10-30,0RZLmpEzGR2NHite6rvS5H,"Polydor Records",4B,GBUM72000432
24,"Underground","Lindsey Stirling",1,94,"bow pop, pop violin","Pop, New age","Artemis",2019-09-06,04:24,52,84,0,2,14,0,0,-5,D Minor,4,2023-10-30,2vcEiEb8cTgyeb0biKChCY,"BMG Rights Management (US) LLC",7A,QMRSZ1900988
