#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"When You Say My Name","Chandler Leighton",63,93,"alt z, dark r&b, la pop","Pop, R&B","When You Say My Name",2022-03-10,02:28,79,54,4,0,58,0,10,-8,C♯/D♭ Major,4,2023-10-30,3a8b6uo4vnQSJroGhaNhgG,"Boom.Records",3B,QM24S2200862
2,"Cruel","Oli Fox",27,96,"uk pop","Pop","Cruel",2018-07-13,03:11,84,45,2,0,62,0,10,-8,A Major,4,2023-10-30,7MaRmvRgXtScvGuMj7e7dE,"Universal-Island Records Ltd.",11B,GBUM71801234
3,"Dance Again","Selena Gomez",47,112,"pop, post-teen pop","Pop","Rare",2020-01-10,02:50,78,55,4,0,46,0,20,-7,C♯/D♭ Minor,4,2023-10-30,5sK3o66yupTNIK6gWgzGjf,"Interscope Records",12A,USUM71923482
4,"Touch - Hermitude Remix","Big Wild,Hermitude",28,106,"vapor soul, australian dance, australian indie, downtempo, escape room","Electronic, Pop, R&B","Touch (Hermitude Remix)",2020-07-09,02:48,82,55,18,1,47,0,0,-9,E Minor,4,2023-10-30,18nSOp3LMuv0QUExig5YrL,"Counter Records",9A,GBCFB2000343
5,"Butterflies","James TW",44,100,"british singer-songwriter, uk pop","Folk/Acoustic, Pop","Heartbeat Changes",2022-04-29,03:17,71,66,23,0,51,10,10,-7,C Minor,4,2023-10-30,3HPS8Nh23hatP7iZ3E7qEz,"Island Records",5A,USUM72102562
6,"September Song","JP Cooper",64,96,"uk pop","Pop","Raised Under Grey Skies (Deluxe)",2017-10-06,03:40,61,62,5,0,37,0,0,-7,C Minor,4,2023-10-30,0zbzrhfVS9S2TszW3wLQZ7,"Universal-Island Records Ltd.",5A,GBUM71604513
7,"Move On.","Indy Angel",25,90,"","","Move On.",2020-08-14,03:12,61,57,56,0,54,0,10,-7,A Major,4,2023-10-30,1FEqnQz42e1GPunYrC7231,"Marshmallow Pavement",11B,AUUGC1701066
8,"What Good Is Love","Paul Rey",21,94,"swedish pop","Pop","What Good Is Love",2017-09-08,03:04,56,58,5,0,40,0,10,-6,F#/G♭ Minor,4,2023-10-30,6NruwXfwah8iQHOmawEyCW,"WM Sweden",11A,SEYQE1700103
9,"Friends","Aura Dione,Rock Mafia",33,94,"danish pop, scandipop, ","Pop","Before The Dinosaurs",2011-00-00,03:43,69,93,2,0,73,10,0,-6,G Major,4,2023-10-30,5Hw98Jnc3teIR42EoEMM93,"Magic Records",9B,DEUM71102911
10,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran,Camila Cabello,Cardi B",70,98,"pop, singer-songwriter pop, uk pop, dance pop, rap","Pop, Hip Hop","No.6 Collaborations Project",2019-07-12,03:24,86,62,15,0,67,0,0,-6,A Minor,4,2023-10-30,4vUmTMuQqjdnvlZmAH61Qk,"Atlantic Records UK",8A,GBAHS1900714
