#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"It Serves You Right To Suffer","John Lee Hooker",27,85,"blues, blues rock, delta blues, electric blues, memphis blues, traditional blues","Blues, Rock","It Serves You Right To Suffer",1966-01-01,05:08,75,15,35,6,49,0,10,-22,D Major,3,2021-11-20,7zmkcdXaus6NTBEAPRtPzb,"Geffen*",10B,USMC16548808
2,"Suffer - Vince Staples & AndreaLo Remix","Charlie Puth,AndreaLo,Vince Staples",30,177,"pop, viral pop, conscious hip hop, hip hop, rap, underground hip hop","Hip Hop, Pop","Suffer (Vince Staples & AndreaLo Remix)",2016-01-27,04:02,32,61,65,0,34,30,10,-9,D#/E♭ Minor,3,2021-11-20,7j16XLHBZXPcgCoYPKVqmF,"Artist Partner",2A,USAT21600519
3,"You're Still the One","Caleb Hawley",31,116,"retro soul","R&B","Sex Tape",2018-02-02,04:05,85,18,72,0,61,0,10,-11,D Major,4,2021-11-20,0aW3sZ7rZ3BP4quHVRHAZF,"Storage Unit Records",10B,TCADM1813750
4,"Lift Me Up","Keaton Simons",0,84,"acoustic pop","Pop","Lift Me Up",2012-10-18,03:25,64,49,22,0,40,0,10,-7,G Major,3,2021-11-20,4D9yBnsBS4let9ymWsuiyI,"Keaton Simons",9B,US4R31234589
5,"Cruel - Piano Acoustic","Oli Fox",11,96,"uk pop","Pop","Cruel",2018-07-13,03:15,77,34,83,0,34,0,10,-9,E Major,4,2021-11-20,28mVaVmmp65DuI6YzCkimq,"Universal-Island Records Ltd.",12B,GBUM71801943
6,"In the Room: Weight in Gold (feat. Seal)","Gallant,Seal",24,120,"alternative r&b, british soul, new wave pop","R&B, Pop","In the Room",2018-08-10,03:25,76,31,52,0,46,0,0,-12,D#/E♭ Major,4,2021-11-20,3MHYrEQzA2Se7GYCkFc4Qn,"Mind of a Genius/Warner Records",5B,USYBL1600254
7,"Learn To Fly","Gallant",21,124,"alternative r&b","R&B","Learn To Fly",2015-05-27,02:43,36,36,79,0,18,0,10,-11,C♯/D♭ Minor,4,2021-11-20,3fc83acpdWrjLYE3wYgpHO,"Mind of a Genius",12A,USYBL1500438
8,"Muddy Waters","LP",0,125,"la pop, women's music","Pop, Folk/Acoustic","Lost on You",2017-05-05,03:48,51,48,39,0,25,0,30,-8,G#/A♭ Minor,4,2021-11-20,28t0Fp23qgptKwnTn55Hq2,"Vagrant Records",1A,QMRSZ1501345
9,"Lost Boy","Ruth B.",64,124,"alt z, canadian contemporary r&b, canadian pop, pop","Pop, R&B","Lost Boy",2015-08-21,04:35,71,6,97,0,35,0,0,-15,G Major,4,2021-11-20,4h0zU3O9R5xzuTmNO7dNDU,"Columbia",9B,USSM11506787
10,"Trampoline","SHAED",58,127,"electropop","Pop","MELT",2018-09-21,03:04,69,41,49,0,54,0,0,-8,G Minor,4,2021-11-20,0lsRatBUs9HNIZAmoGABzk,"Photo Finish Records",6A,QZ47A1800201
11,"Slip","Elliot Moss",58,64,"nyc pop","Pop","Highspeeds",2015-04-28,04:58,72,28,75,0,35,0,10,-10,C Minor,4,2021-11-20,15N3zfcJSyUEMn5KgY99ua,"Nettwerk Music Group",5A,QMES51350017
12,"Trndsttr - Lucian Remix","Black Coast,M. Maggie,Lucian",0,130,"meme, la pop, vapor twitch","Pop, Electronic","Trndsttr (Lucian Remix)",2016-02-18,02:59,79,48,35,0,47,0,30,-4,D Minor,4,2021-11-20,2O9hsVDgcwTUWTV8oluw3A,"Ultra Records",7A,TCACE1585858
13,"Incense and Candles","Prince",21,75,"funk, funk rock, minneapolis sound, rock, synth funk","R&B, Rock","3121",2006-03-21,04:04,79,70,23,0,74,10,10,-6,A#/B♭ Minor,4,2021-11-20,5mRhGTe6tTbXdXZeIezhFB,"Legacy Recordings",3A,USQX91801593
14,"New Girl","FINNEAS",0,75,"alt z, la indie, pop, pov: indie","Pop","New Girl",2016-08-12,03:01,71,39,65,0,35,0,10,-7,G#/A♭ Minor,4,2021-11-20,5xtBRnNNSUihY0J6zi4Ytc,"OYOY",1A,US23A1500206
15,"Mercy","JP Cooper",37,88,"uk pop","Pop","Covers",2018-03-02,03:12,46,18,84,0,33,0,10,-11,B Minor,5,2021-11-20,0s5qyDeL5KqWoBP4xRnse7,"Universal-Island Records Ltd.",10A,GBUM71605768
16,"Darkness and Light (feat. Brittany Howard)","John Legend,Brittany Howard",35,122,"neo soul, pop, pop soul, urban contemporary, black americana, modern blues rock","Country, Rock, R&B, Pop, Hip Hop","DARKNESS AND LIGHT",2016-12-02,03:50,59,78,16,0,60,10,0,-4,C Minor,4,2024-10-12,4jBPWUAtvIbj7trXEg9QPJ,"Columbia",5A,USSM11606981
17,"Chainsmoking","Jacob Banks",57,138,"uk contemporary r&b","R&B","Village",2018-11-02,03:12,38,68,54,0,60,10,10,-4,F#/G♭ Minor,4,2024-10-12,1EZfCViOJ9XKFbwX8FkZUF,"UMGRI Interscope",11A,USUM71701331
18,"Mr. Sandman","SYML",60,97,"modern indie pop","Pop","Mr. Sandman",2017-05-12,03:26,34,37,92,26,4,0,0,-11,A Minor,4,2024-10-12,6sPpUfwcYBgW3kTXStNsVM,"Nettwerk Music Group",8A,CAN111700076
