#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Loverboy","Mattis",11,90,"scandinavian r&b","R&B","Loverboy",2017-05-17,03:28,62,57,53,6,20,10,10,-8,G#/A♭ Major,4,2024-05-16,2ks1i7dumYRliNhPuxzQLm,"WM Germany",4B,DKADG1700174
2,"Heat Waves","Glass Animals",31,81,"gauze pop, indietronica, modern rock, pov: indie, shiver pop","Pop, Rock","Dreamland (+ Bonus Levels)",2020-08-06,03:58,76,53,44,0,53,0,0,-7,B Major,4,2024-07-10,02MWAaffLxlfxAUY7c5dvx,"Polydor Records",1B,GBUM72000433
3,"One Thing Right","Marshmello,Kane Brown",39,88,"brostep, edm, pop, progressive electro house, black americana, contemporary country, country, country road","Country, Electronic, Pop","One Thing Right",2019-06-21,03:01,66,63,6,0,44,0,50,-2,E Major,4,2024-05-31,4hPpVbbakQNv8YTHYaOJP4,"RCA Records Label Nashville",12B,US6XF1800275
4,"Seasons","Chloe Adams",32,92,"alt z","Pop","Seasons",2022-05-13,02:43,70,64,21,0,54,0,0,-5,C♯/D♭ Major,4,2024-05-16,0MFcHhvR5m18zHafeLSqob,"Chloe Adams",3B,FR59R2284924
5,"Mood Ring","Lorde",55,95,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Solar Power",2021-08-20,03:45,68,48,42,0,37,0,20,-10,F Major,4,2024-07-13,7rb4dcBfW0m1LQQcDCh4Hv,"Universal Music New Zealand Limited",7B,NZUM72100187
6,"Dirty Thoughts","Chloe Adams",54,167,"alt z","Pop","Dirty Thoughts",2021-11-05,02:09,66,46,17,0,38,10,40,-7,G Major,4,2024-05-16,2g1QPpTd4o8gTAapxEUPnz,"Chloe Adams",9B,SGB502103181
7,"Fear of the Water","SYML",60,93,"modern indie pop","Pop","Hurt for Me",2016-11-18,04:05,46,21,95,88,15,0,10,-18,G Minor,4,2024-05-16,3jVniYVNCrwQvvWJpReosr,"Nettwerk Music Group",6A,TCACQ1628747
8,"Back in the Water","HAEVN",5,188,"dutch pop","Pop","Eyes Closed",2018-09-14,03:10,56,44,84,0,31,0,10,-12,C Minor,4,2024-05-31,1EpMvEVHU883c7m6PzcsAj,"HAEVN Music",5A,NLP7E1800002
9,"Stargazing","Kygo,Justin Jesso",64,99,"edm, pop, pop dance, tropical house, singer-songwriter pop","Electronic, Pop","Stargazing - EP",2017-09-21,03:56,68,50,15,0,42,0,0,-6,F Major,4,2024-05-16,0Zbbxnx4SGGHoIow4PpISP,"Kygo",7B,SEBGA1700242
10,"Purple Hat","Sofi Tukker",63,94,"edm","Electronic","Purple Hat",2019-09-06,02:58,78,74,34,1,65,20,0,-7,A Major,4,2024-05-16,6WiGRFQfx2qw49MA7OeDYK,"Ultra Records, LLC",11B,QM37X1900018
11,"Rendezvous","Miss Benny",31,90,"","","Rendezvous",2019-01-18,03:16,70,62,1,0,61,0,10,-8,A Minor,4,2024-05-31,5UNRCb1mKJHiU6iQlGlKuv,"Miss Benny",8A,usl4r1816489
12,"Move Me","Liyr",25,98,"","","Move Me",2018-07-20,03:20,69,36,70,0,54,0,20,-9,F Minor,4,2024-05-31,7yYkpuZnIw4HQVSe7YHfWY,"Liyr",4A,ushm21880330
