#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Childish","aiwake",31,88,"","","Childish",2017-05-11,03:00,62,35,22,0,18,0,10,-9,G#/A♭ Minor,3,2023-12-14,0GVOIQYC0yNb7S6BatGiL4,"Aiwake",1A,TCADB1715209
2,"Tonight (Sundown)","aiwake",31,97,"","","Tonight (Sundown)",2019-05-29,03:55,67,51,1,48,44,0,10,-8,G Minor,4,2023-12-14,5M2MRpRijQsvUub7B8Mx8e,"Majestic Casual Records",6A,DEVF11900534
3,"Palm City","aiwake",35,106,"","","Palm City",2018-10-29,03:46,68,48,63,49,28,0,10,-11,E Minor,4,2023-12-14,595jZxBNdZydpl8jAO5Ezs,"Majestic Casual Records",9A,DEVF11800472
4,"Crescent Lane","aiwake",14,128,"","","Crescent Lane",2018-02-26,03:41,62,54,4,0,23,0,10,-7,G Minor,4,2023-12-14,4Q2covQ0hTCnsmH5xPbhJK,"aiwake",6A,QZ85M1800537
5,"Transparence","aiwake,Saen.",16,140,"","","#99000a",2021-02-19,02:21,50,66,2,0,39,0,50,-7,C Major,4,2023-12-14,4b4oULIWRssvu6O9H4KbZi,"aiwake, Saen.",8B,QZ93L2104013
6,"One Under","Wilma Vritra,Wilma Archer,VRITRA",14,179,"experimental hip hop, newcastle indie, baton rouge rap","Hip Hop, Rock","Grotto",2022-05-06,05:06,46,61,65,30,45,0,10,-7,C Major,4,2023-12-14,6i718RJc1wy0e1zg7xrpo2,"Bad Taste",8B,GBNEQ2100029
7,"As I Am","H.E.R.",51,84,"r&b, rap","R&B, Hip Hop","I Used To Know Her",2019-08-30,04:00,45,57,8,0,18,20,20,-8,D Minor,4,2023-12-14,6hRrzZJ90DNQdEF1Wu2Mrf,"MBK Entertainment/RCA Records",7A,USRC11802597
8,"Shallow Grave","Wilma Vritra,Wilma Archer,VRITRA",35,62,"experimental hip hop, newcastle indie, baton rouge rap","Hip Hop, Rock","Burd",2019-04-05,03:25,56,48,64,0,49,0,10,-7,D Major,4,2023-12-14,2pA9wkbt97AAg1ONefIu40,"Bad Taste",10B,GBNEQ1900005
9,"Overcast","Wilma Vritra,Wilma Archer,VRITRA",11,93,"experimental hip hop, newcastle indie, baton rouge rap","Hip Hop, Rock","Grotto",2022-05-06,03:38,44,56,1,0,16,0,10,-8,C♯/D♭ Major,4,2023-12-14,0ky21NS98VPCfAcd6xg7Cc,"Bad Taste",3B,GBNEQ2100033
10,"Stripes","Ben Esser,Beau Diako,emawk",31,86,"indie r&b","R&B","Stripes",2019-09-12,02:15,50,28,86,17,56,10,10,-13,C♯/D♭ Minor,4,2023-12-14,6Iubxxf4cBRv8cuureNRK9,"Lekker Collective",12A,GBKPL1962309
11,"Baby Blue Eyes","Mathilda Homer",26,170,"british soul","R&B","Baby Blue Eyes",2019-11-15,02:30,83,52,15,0,46,20,10,-7,A Minor,4,2023-12-14,7h50Q2U5VYSvZDxEKOLWSm,"RCA Records Label",8A,GBARL1901255
12,"Sur la lune","Bigflo & Oli",55,90,"french pop, rap conscient","Pop, Hip Hop","La vie de rêve",2018-11-24,03:52,62,66,21,0,38,10,20,-9,E Major,4,2023-12-14,78iwevM29hXavHtX1sQekL,"Universal Music Division Polydor",12B,FRUM71801996
