#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Crazy In Love - BBC Session","Oh Wonder",35,158,"electropop, indie poptimism, pov: indie","Pop","Crazy In Love (BBC Session)",2016-04-15,03:30,45,18,83,0,26,0,10,-21,D Minor,4,2022-04-26,5QWIaMorzKJ0P0BOW4Bmtt,"Oh Wonder",7A,GBCAD1600312
2,"Beautiful World","Brieuc,Gregor Potter",0,100,"belgian edm","Electronic","Beautiful World",2018-09-14,03:24,75,63,0,9,37,0,0,-9,G#/A♭ Minor,4,2022-04-26,72F9SpFl6WjPqITlaqsdBE,"Enhanced Recordings",1A,GBKQU1862355
3,"Paris","Else",56,103,"new french touch","Electronic","Paris",2016-04-19,03:29,79,58,2,58,54,0,0,-8,G#/A♭ Minor,4,2022-04-26,2H7F7EfsVhy0jNLsVz8MLH,"L’ordre Music",1A,FR7JK1600001
4,"Young & Realistic","The Faint",22,122,"dance-punk, electropowerpop, indietronica, omaha indie","Rock, Pop","CAPSULE:1999-2016",2016-09-30,04:56,67,83,0,7,85,0,0,-6,C Major,4,2022-04-26,6jWLV4QmRHdOF0Im6EUtow,"Saddle Creek",8B,GBKPL1666969
5,"Beggin'","Madcon",56,129,"norwegian hip hop","Hip Hop","Conquest",2009-01-01,03:38,72,80,3,0,43,0,0,-5,E Minor,4,2022-04-26,4YeKAwFn69ehnciOfi7Sbf,"Cosmos",9A,NOBLV0703011
6,"How I Want Ya","Hudson Thames,Hailee Steinfeld",38,202,"la pop, pop","Pop","Lip Tricks",2015-11-06,02:58,61,55,0,0,58,0,10,-6,G#/A♭ Major,3,2022-04-26,2awGKnr0saaZHGJQ8bAQdC,"Universal Records",4B,USUM71511987
7,"Fall in Love","Barcelona",33,79,"","","Fall in Love",2014-02-04,04:26,58,28,62,0,7,0,0,-13,A Minor,4,2022-04-26,7EV70UYb2jxgbgyKmdxzqa,"NBD LLC",8A,TCABR1383885
8,"Les bateaux - Polocorp Remix","Pépite,Polocorp",26,92,"french indie pop, french indietronica, french psychedelic, ","Pop, Electronic, Folk/Acoustic","Les bateaux (Polocorp Remix)",2018-06-14,04:28,61,48,10,0,14,0,0,-7,G Major,4,2022-04-26,1Zi5EhhPgieVkdSgWYldt0,"microqlima",9B,FR9W11812015
9,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo,Nicki Minaj,Ty Dolla $ign",69,98,"dance pop, pop, hip pop, queens hip hop, rap, hip hop, pop rap, r&b, southern hip hop, trap, trap soul","Pop, Hip Hop, R&B","Swalla (feat. Nicki Minaj & Ty Dolla $ign)",2017-02-23,03:36,69,79,15,0,75,10,20,-5,C♯/D♭ Major,4,2022-04-26,6kex4EBAj0WHXDKZMEJaaF,"Beluga Heights/Warner Records",3B,USWB11700237
10,"Finding Out More","HAEVN",0,140,"dutch pop","Pop","Eyes Closed",2018-09-14,03:23,73,35,41,0,32,0,10,-10,F Minor,4,2022-04-26,4QTjgrK1WooiANwT0Vp4fS,"HAEVN Music",4A,QM2PV1500837
