#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Ghostbusters","Ray Parker Jr.",68,115,"theme","Easy listening","Greatest Hits",1993-10-12,03:59,78,72,1,3,73,0,30,-10,E Major,4,2024-10-23,569uHYIB0X324FZOBEhvit,"Arista/Legacy",12B,USAR18400117
2,"Monster Mash","Bobby  Boris  Pickett,The Crypt-Kickers",73,68,"halloween, novelty, ","Easy listening, Rock","The Original Monster Mash",1962-00-00,03:12,54,50,38,0,71,40,40,-14,B Minor,4,2024-10-23,0xxZY5C9xxij3D1HkzbnfC,"Decca Music Group Ltd.",10A,GBBBA7360050
3,"Werewolves of London","Warren Zevon",65,104,"country rock, folk, folk rock, piano rock, roots rock, singer-songwriter","Rock, Folk/Acoustic","Excitable Boy",1978-06-01,03:29,75,62,10,1,93,0,0,-9,G Major,4,2024-10-23,6kotXaSQaGYxE62hVpdHWu,"Rhino/Elektra",9B,USEE10610109
4,"SICK PRETTY MIND (SIDE B)","UPSAHL",50,110,"alt z, modern indie pop","Pop","UPSAHL PRESENTS: THE PHX TAPES",2023-10-20,02:16,71,71,2,0,71,0,30,-5,A Minor,4,2024-10-23,4VY6SsgA05tDXC3jAkAE1h,"Arista Records",8A,USAR12300183
5,"bury a friend","Billie Eilish",74,120,"art pop, pop","Pop","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:13,91,39,74,16,20,30,10,-15,G#/A♭ Major,4,2024-10-23,4SSnFejRGlZikf02HLewEF,"Darkroom/Interscope Records",4B,USUM71900770
6,"I Did Something Bad","Taylor Swift",74,83,"pop","Pop","reputation",2017-11-10,03:58,70,60,7,0,31,10,0,-6,C Minor,4,2024-10-23,4svZDCRz4cJoneBpjpx8DJ,"Big Machine Records, LLC",5A,USCJY1750005
7,"Black Widow","Iggy Azalea,Rita Ora",64,164,"australian hip hop, dance pop, pop, uk pop","Hip Hop, Pop","The New Classic",2014-01-01,03:29,74,72,19,0,51,10,10,-4,D#/E♭ Minor,4,2024-10-23,7pNC5ZIKtwUK0ReSpM3P9f,"EMI",2A,GBUM71401093
8,"Bloody Mary","Lady Gaga",70,100,"art pop, dance pop, pop","Pop","Born This Way (Special Edition)",2011-01-01,04:04,59,63,1,0,44,0,10,-6,A Minor,4,2024-10-23,11BKm0j4eYoCPPpCONAVwA,"Interscope",8A,USUM71106449
9,"This Is Halloween","The Citizens of Halloween",72,168,"","","Nightmare Before Christmas Special Edition",2006-01-01,03:16,57,51,77,0,65,0,10,-13,G Major,4,2024-10-23,01YROQCnF1AQm7SCWJmD2o,"Walt Disney Records",9B,USWD10422982
10,"Disturbia","Rihanna",78,125,"barbadian pop, pop, urban contemporary","Pop, Hip Hop","Good Girl Gone Bad: Reloaded",2008-06-02,03:58,71,81,9,0,72,0,10,-5,B Minor,4,2024-10-23,2VOomzT6VavJOGBeySqaMc,"Def Jam Recordings",10A,USUM70814476
