#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"empty crown","YAS",0,84,"","","Gouldian Finch 3",2019-04-05,03:34,45,48,36,7,7,0,0,-6,G#/A♭ Minor,4,2022-09-02,3OG2n87s38Hm4TTpEOsRI8,"bitbird",1A,NLRD51632280
2,"X","FEYNMAN",16,85,"","","Illusions II - EP",2017-12-01,02:16,74,48,1,90,36,0,30,-9,C♯/D♭ Minor,4,2022-09-02,5bHcWqJ3GwfiZ1vhK96Cc2,"Fake Music",12A,FR9W11721323
3,"South","Galimatias",0,76,"vapor soul, vapor twitch","R&B, Electronic","South",2018-04-26,03:35,69,33,65,3,43,0,10,-11,C Minor,4,2022-09-02,7L5P30Eg8eta8Q9em2VteI,"Galimatias",5A,QM4TW1807259
4,"Baptize","RKCB",32,90,"indie electropop, indie poptimism, vapor soul","Pop, R&B","Baptize",2015-10-21,04:07,41,30,87,0,19,0,10,-10,G Major,4,2022-09-02,06DkevSU67Vdlpoq4mxNWm,"AllPoints",9B,TCACJ1521664
5,"Mumma Don't Tell","Leifur James",36,108,"experimental jazz, indie jazz","Jazz","A Louder Silence",2018-10-05,05:08,59,30,36,81,11,0,10,-11,C♯/D♭ Major,4,2022-09-02,65p97eP4CoW3rG7OIcBgoq,"Night Time Stories",3B,GB5EM1801802
6,"Bring Me Down","Tora",0,139,"indie soul","R&B","Can't Buy the Mood",2019-08-09,03:00,83,35,62,0,23,10,0,-11,F Minor,3,2022-09-02,2ZO8XAipy31YURhKVjdVuh,"LUSTRE",4A,AUOPK1700036
7,"Night Terrific! (feat. Yaqob)","ODIE,Yaqob",21,82,"canadian contemporary r&b, ","R&B","Night Terrific! (feat. Yaqob)",2018-03-23,02:44,69,32,86,0,17,10,20,-11,E Minor,4,2022-09-02,1wQxWFfARHkHVPd9PnZiKU,"Unité Recordings / EMPIRE",9A,USUYG1187321
8,"2","H.E.R.",47,150,"r&b, rap","R&B, Hip Hop","H.E.R.",2017-10-20,03:08,79,45,31,2,44,10,10,-7,F#/G♭ Minor,4,2022-09-02,2YyNFk4HBKXrqgsvPDNJtO,"MBK Entertainment/RCA Records",11A,USRC11702691
9,"Move Me","Liyr",25,98,"","","Move Me",2018-07-20,03:20,69,36,70,0,54,0,20,-9,F Minor,4,2022-09-02,7yYkpuZnIw4HQVSe7YHfWY,"Liyr",4A,ushm21880330
10,"Losing My Way","FKJ,Tom Misch",0,100,"filter house, indie soul, jazz pop","Electronic, R&B, Pop","Losing My Way",2019-10-10,04:19,84,43,56,36,13,20,10,-14,F#/G♭ Major,4,2022-09-02,4yMT3mbUsiukLDRqPfQ9rN,"FKJ",2B,GBKPL2015213
11,"Subtle Thing","Marian Hill",34,83,"electropop","Pop","Unusual",2018-05-11,03:01,75,44,14,47,20,0,10,-8,D Minor,4,2022-09-02,6LCy7coV76nB2aNI7bhrVW,"Photo Finish / Republic Records",7A,USUM71801133
12,"Nobody","Niia",31,102,"","","I",2017-05-05,04:08,73,52,48,0,56,0,10,-7,F Major,4,2022-09-02,5gENVZBJVfULTzAYhJTtH6,"Atlantic Records",7B,USAT21700303
13,"Hush","The Marías",0,93,"bedroom pop, la indie","Pop","Hush",2021-04-30,03:01,85,43,7,18,68,0,0,-7,F Minor,4,2022-09-02,04kybb0HCt1uaTBgYkSgwQ,"Nice Life/Atlantic",4A,USAT22100692
14,"Blood","Mindchatter",15,110,"proto-hyperpop","Pop","Blood",2019-01-24,03:01,89,25,73,25,40,10,10,-11,F Minor,4,2022-09-02,5Dc8KDYD37aYJiWX57gNrE,"Mind of a Genius",4A,QZ8LD1992206
15,"whoa (mind in awe)","XXXTENTACION",70,160,"emo rap, miami hip hop, rap","Hip Hop","SKINS",2018-12-07,02:37,74,53,65,92,37,0,10,-3,F#/G♭ Minor,4,2022-09-02,7pdF27mSDuPWhppnHAmWHa,"Bad Vibes Forever / EMPIRE",11A,USUYG1226220
16,"The Love You're Given","Jack Garratt",12,80,"uk alternative pop","Pop","Phase",2016-02-19,05:00,51,48,23,17,10,0,20,-11,F Minor,4,2022-09-02,5JLnKQQ6rYevtpoJ6n6WLA,"Universal-Island Records Ltd.",4A,GBUM71406400
17,"It's Alright","Majik",0,95,"vapor soul","R&B","It's Alright / Save Me",2015-02-16,05:06,44,43,70,17,10,0,30,-12,D Major,4,2022-09-02,1L1vWlBmczGdw74eQOtrtD,"Majik",10B,TCACD1575006
18,"South","Galimatias",44,76,"vapor soul, vapor twitch","R&B, Electronic","South",2018-04-26,03:35,71,33,64,3,44,0,10,-11,C Minor,4,2022-09-02,4iD4tYNuSVN7Da9g8Epp8t,"Galimatias",5A,QM4TW1807259
19,"Let's Go Walk","Bronze Whale",0,90,"vapor twitch","Electronic","Let's Go Walk",2020-02-25,03:22,70,61,66,0,12,10,10,-6,A#/B♭ Major,4,2022-09-02,5PNRrsoailYvZDIHSnFiaC,"Magic Magic",6B,uscgh2071797
20,"Incompetent Competitions","Dooqu,Ashdown",0,120,"","","Moods EP",2016-05-26,02:43,90,49,52,0,52,40,0,-6,A#/B♭ Minor,4,2022-09-02,2QTFA7ZOW1SaS8279spa0z,"Heroic",3A,NLRD51630307
21,"Take Care Of You","Saje",36,90,"new french touch","Electronic","Take Care Of You",2018-06-08,03:57,68,31,58,0,25,0,10,-9,F#/G♭ Minor,4,2022-09-02,70pvexQXsCNuoyiSbM8OWw,"Independent",11A,GBLFP1862206
22,"Loverboy","Mattis",11,90,"scandinavian r&b","R&B","Loverboy",2017-05-17,03:28,62,57,53,6,20,10,10,-8,G#/A♭ Major,4,2022-09-02,2ks1i7dumYRliNhPuxzQLm,"WM Germany",4B,DKADG1700174
23,"Teardrop - Remastered 2006","Massive Attack,Elizabeth Fraser",30,77,"downtempo, electronica, trip hop, ethereal wave, scottish indie","Electronic, New age, Rock, Pop","Collected",2006-03-27,05:28,61,46,2,69,17,0,20,-8,B Minor,4,2022-09-02,35mj4RS00QlYlYeHr89kTW,"Virgin Records",10A,GBAAA0600010
24,"Greener","FKJ,Carlos Santana",0,166,"filter house, indie soul, ","Electronic, R&B","V I N C E N T",2022-06-10,03:54,60,51,57,22,56,10,0,-10,B Minor,4,2022-09-02,38XU7FYX4uHYAdVbc7B7LB,"FKJ",10A,USQE92100288
25,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes,Justin Bieber",67,146,"canadian pop, pop, viral pop","Pop","Monster",2020-11-20,02:58,65,38,7,0,55,0,0,-7,D Minor,4,2022-09-02,2Z8yfpFX0ZMavHkcIeHiO1,"Shawn Mendes LP4-5 PS/ Island",7A,USUM72018810
26,"Bulletproof","FARR",61,176,"","","Bulletproof",2019-07-12,03:31,47,47,36,24,25,0,10,-7,C Minor,4,2022-09-02,0X3Csp5UBxXNqfnzkngOvN,"FARR",5A,QM24S1922248
27,"The Chain","Kerala Dust",50,151,"organic electronic","Electronic","The Chain",2018-02-09,05:21,68,49,2,5,40,0,10,-13,A Major,4,2022-09-02,7IctzNEJucIBzkAWYg6np2,"AllPoints",11B,GB45A1800921
28,"Blowback","Galimatias",0,103,"vapor soul, vapor twitch","R&B, Electronic","Blowback",2017-08-04,04:03,74,44,14,0,35,0,20,-11,D Minor,4,2022-09-02,38eA3gqtwDL0R7i1rbZY22,"Galimatias",7A,QM6N21737998
29,"Charité","Dalholt,Langkilde",0,104,"","","Charité",2015-07-22,06:49,77,47,72,56,31,0,10,-10,G Major,4,2022-09-02,4Ym9uN1F0dSvnn2fa7soHl,"Music For Dreams",9B,DKAZ71511701
30,"Tears Will Heal You","Kolind",0,101,"","","Autiskind",2018-02-16,02:16,67,28,45,85,21,0,10,-11,B Minor,4,2022-09-02,0zbFCFY0EpfD2wd6ImmmHX,"StereoRoyal ApS",10A,USLD91712818
31,"Stones","Emmit Fenn",0,130,"chill house, vapor soul","Electronic, R&B","Prologue",2017-06-21,03:34,69,36,75,16,35,0,10,-13,D#/E♭ Minor,4,2022-09-02,6SxhMVIqpdEOf9jVzgfQJZ,"TH3RD BRAIN",2A,TCADC1757127
32,"Floating By","Washed Out",0,90,"chillwave, indietronica, neo-synthpop","Rock, Pop","Mister Mellow",2017-06-30,03:41,53,84,70,0,35,0,20,-5,F#/G♭ Minor,4,2022-09-02,4Y4gQvaJBcAxwgf8jJyvDY,"Stones Throw Records",11A,US2S71787004
33,"California","Nude",27,90,"vapor soul","R&B","Naturalness",2015-09-27,03:35,77,61,74,0,49,0,10,-9,B Major,4,2022-09-03,2uEgwNmXUMxq6HYN1E2ecj,"Nude",1B,FR10S1626278
34,"tears in the club (feat. the weeknd)","FKA twigs,The Weeknd",55,168,"afrofuturism, alternative r&b, art pop, escape room, experimental r&b, trip hop, canadian contemporary r&b, canadian pop, pop","R&B, Pop","CAPRISONGS",2022-01-14,03:16,62,72,19,0,72,10,0,-6,G#/A♭ Major,4,2022-09-09,1GsSM1Fju5J1Fsu51jEsTg,"Atlantic Records",4B,USAT22108057
35,"Powers","Lostboycrow",32,160,"indie poptimism, indietronica","Pop","Powers",2015-09-10,03:22,50,48,52,0,18,0,10,-8,A Minor,4,2022-09-12,7pafGsk7gZlQ40sF4Pncj2,"Real Name Productions LLC",8A,TCACI1539976
36,"Coffee","Sylvan Esso",58,100,"art pop, chamber pop, etherpop, indie pop, indie rock, indietronica, shimmer pop","Pop, Rock","Sylvan Esso",2014-05-13,04:28,46,46,33,0,19,10,10,-8,C Major,4,2022-09-12,30GGIrrJdSNtecPiFcVP5O,"Psychic Hotline",8B,USBQU1400001
37,"Worry","Jack Garratt",45,90,"uk alternative pop","Pop","Phase (Deluxe)",2016-02-19,04:02,59,49,17,0,34,20,50,-10,A Minor,4,2022-09-12,5mLcaGVV89H58FWJ677E6K,"Universal-Island Records Ltd.",8A,QMFMG1471602
38,"Blades","FARR",20,147,"","","Weightless",2020-03-27,03:32,61,37,65,1,22,10,10,-10,D#/E♭ Major,4,2022-09-16,5cVKTNMs4g308gLNb1FTWY,"Farr International Limited",5B,TCADA1787205
39,"Twenty//Three","Jelani Blackman",0,152,"london rap, uk alternative hip hop","Hip Hop","Twenty//Three - Single",2015-12-02,04:11,68,34,35,0,37,30,30,-10,E Minor,4,2022-09-19,0VC6GjKePYGzyLzKv9ARhM,"Quality Time Recordings",9A,USA2P1567101
40,"Pause","Eddy de Pretto,Yseult",55,189,"french pop, french rock, nouvelle chanson francaise, pop quebecois, r&b francais","Pop, Rock, World/Traditional, Electronic, Latin","À TOUS LES BÂTARDS",2021-09-01,03:05,39,34,90,0,27,10,10,-11,E Minor,4,2022-09-19,57TwkG6mUvWDZsEqARyeI2,"Universal Music Division Virgin Music",9A,FRUM72101340
41,"Belong to You (feat. 6LACK)","Sabrina Claudio,6LACK",55,152,"alternative r&b, r&b, atl hip hop, melodic rap, rap, trap","R&B, Hip Hop","About Time",2017-10-05,03:05,61,55,27,2,62,10,10,-11,A#/B♭ Minor,4,2022-09-22,2I88NEWpKrAPZuapXNV5G6,"SC Entertainment",3A,USAT21704019
42,"Shy Dancer","Galimatias",41,123,"vapor soul, vapor twitch","R&B, Electronic","Shy Dancer",2020-11-20,02:51,84,48,50,1,67,10,30,-8,D Major,4,2022-09-23,6rIXjTkphb5RB5cXGz6CyX,"Galimatias",10B,QMFME2012015
43,"Willy Wonka (feat. Paulina & Jafé)","Russ,Paulina,Jafé",46,93,"hawaiian hip hop, pop rap, ","Hip Hop","Willy Wonka (feat. Paulina & Jafé)",2015-04-20,03:01,80,50,56,0,19,0,10,-6,C Major,4,2022-09-23,0OwqNxhVtO6lSw2XAxdhgX,"DIEMON",8B,TCACF1536739
44,"Lullabies","Yuna",37,85,"malaysian pop","Pop","Yuna",2012-04-24,04:05,71,34,47,3,32,0,0,-9,F Major,4,2022-09-30,65NgzrJQYejo06ddrg8tbp,"FADER LABEL",7B,US4HB1200001
