#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"You Will Be Found","Ben Platt,Kristolyn Lloyd,Will Roland,Laura Dreyfuss,Original Broadway Cast of Dear Evan Hansen",58,87,"show tunes, broadway","Easy listening","Dear Evan Hansen (Original Broadway Cast Recording)",2017-02-03,06:00,29,62,9,0,21,0,0,-7,A Major,4,2024-09-16,1H7Zqkq54andtaSSnLRrfp,"Atlantic Records",11B,USAT21603427
2,"My Shot","Lin-Manuel Miranda,Daveed Diggs,Okieriete Onaodowan,Leslie Odom Jr.,Original Broadway Cast of Hamilton,Anthony Ramos",67,180,"broadway, show tunes, alternative hip hop, vocal jazz","Hip Hop, Easy listening, Jazz","Hamilton (Original Broadway Cast Recording)",2015-09-25,05:33,70,65,15,0,57,40,0,-7,G#/A♭ Major,4,2024-09-16,4cxvludVmQxryrnx1m9FqL,"Atlantic Records",4B,USAT21502598
3,"Get'cha Head In The Game","Troy,Disney",51,113,"movie tunes","Easy listening","High School Musical",2006-01-01,02:27,88,90,4,1,53,10,0,-7,B Minor,4,2024-09-16,3sT37kCEpxM1zQ8s98i7ps,"Walt Disney Records",10A,USWD10527736
4,"The Boys Are Back","High School Musical Cast,Corbin Bleu,Zac Efron,Disney",0,115,"movie tunes, post-teen pop, hollywood","Easy listening, Pop","High School Musical 3 - Senior Year",2009-01-01,03:48,69,91,1,0,88,0,0,-3,C♯/D♭ Major,4,2024-09-16,2J8QBdeU4z6GeFhjhzGJQ0,"Parlophone Catalogue",3B,USWD10834893
5,"Ways to Be Wicked","Dove Cameron,Sofia Carson,Cameron Boyce,Booboo Stewart,Disney",64,113,"pop, movie tunes","Easy listening, Pop","Descendants 2 (Original TV Movie Soundtrack)",2017-07-21,03:38,63,98,11,0,41,10,40,-4,F Minor,4,2024-09-16,2ziVTVizQdVNC2QhQhNGvg,"Walt Disney Records",4A,USWD11779702
6,"What's My Name","China Anne McClain,Thomas Doherty,Dylan Playfair,Disney",66,114,"movie tunes","Easy listening","Descendants 2 (Original TV Movie Soundtrack)",2017-07-21,03:10,73,93,10,0,66,10,20,-5,C♯/D♭ Major,4,2024-09-16,53xAT6jud1w0NqlBjSW4VB,"Walt Disney Records",3B,USWD11779701
7,"Say My Name","Alex Brightman,Sophia Anne Caruso,Kerry Butler,Rob McClure",65,94,"show tunes, broadway","Easy listening","Beetlejuice (Original Broadway Cast Recording)",2019-06-07,03:55,53,75,35,0,70,20,20,-6,F Minor,4,2024-09-16,3PzAUMMxPcaXEfWEvMx469,"Ghostlight Records",4A,USSK31942037
8,"You're Welcome","Dwayne Johnson",51,135,"","","Vaiana (English Version/Original Motion Picture Soundtrack/Deluxe Edition)",2016-11-18,02:43,79,74,28,0,67,20,0,-7,F Major,4,2024-09-16,1gAqEg0gMyxJrM4DOOaYEA,"Walt Disney Records",7B,USWD11677860
9,"The Other Side of Hollywood (feat. Cheyenne Jackson)","Julie and the Phantoms Cast,Cheyenne Jackson",48,98,"movie tunes","Easy listening","Julie and the Phantoms: Season 1 (From the Netflix Original Series)",2020-09-10,03:20,58,85,7,0,79,10,0,-4,C Major,4,2024-09-16,4jYGB4T88KsZFvloRApZzo,"Columbia",8B,QZ8BZ2000360
10,"One Song Glory","Adam Pascal",34,142,"broadway, hollywood, show tunes","Easy listening","The Best Of Rent",1999-01-01,02:41,75,29,52,0,63,10,40,-11,F#/G♭ Major,4,2024-09-16,6dVgmtiVMzq22c3MB2QMHv,"Verve (Adult Contemporary) MC",2B,USDW19600307
