Artist,Song,notes,note_source
Max and Ali Gatie,Butterflies,Top Picks: Emily Myers,GSDJ - https://proswingdjs.com/
Shrillex & Diplo,Mind Ft Kai,2016-08-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Taio Cruz,Dynamite,2010-08-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Bob Seger,Hey Gypsy,2014-10-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Prince,1000 X’S & O’S,Top Picks: Sam Ghaida,GSDJ - https://proswingdjs.com/
Rihanna & Ariana Grande,Alone With You,2019-01-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
"Ciara, Missy Elliott","One, Two Step",Top Picks: JAmes Atwill,GSDJ - https://proswingdjs.com/
Bruno Mars,Treasure,2013-07-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Lee Coulter,Booty Voodoo,2012-07-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Charlie Puth,Does It Feel,2017-04-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Anthony Hamilton,Mad,Top Picks: Chris Uren,GSDJ - https://proswingdjs.com/
Meghan Trainor,Funk,2020-02-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Bruno Mars,Treasure,2013-10-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Ari Gumora,Sweater Weather,Top Picks: Khayree Jones,GSDJ - https://proswingdjs.com/
Jimmie Vaughan,The Pleasure’s All Mine,2011-01-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Macy Gray,What I Want for Christmas,2009-12-01Holiday themed list,GSDJ - https://proswingdjs.com/
Amy Winehouse,Valerie,2012-09-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Years & Years,Memo,Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
Leon Huff,I Ain’t Jivin’ I’m Jammin’,GSDJ Top 25 Fast “Blues”,GSDJ - https://proswingdjs.com/
Andy Grammer,Miss Me,2013-01-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Phil Kahan,Be Cool,2014-02-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Eric Clapton,Layla (Unplugged),Top Picks: Thomas Friess,GSDJ - https://proswingdjs.com/
"Jean Tonique Remix - MAX, Ali Grande, Jean Tonique",Butterflies,Top Picks: Kerrin Pollock,GSDJ - https://proswingdjs.com/
5 Seconds Of Summer,Easier,2019-07-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Selena Gomez,Same Old Love,2015-11-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Stephanie Poetri,Do You Love Me,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
Maroon 5 ft Christina Aguilera,Moves Like Jagger,2011-10-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Public,Splash,Top Picks: Emily Myers,GSDJ - https://proswingdjs.com/
Ed Sheeran,Bloodstream,2014-07-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Years & Years,Karma [Clean Version],2018-08-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Jason Derulo,In My Head,2010-04-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Macy Gray,Let You Win,2010-07-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
"Nic Hanson, ZiG",Silver Lined Clouds,2023-01-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Emmit Fenn,Lost In Space,2019-06-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Pentatonix,Misbehavin’,2016-01-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Anthony Hamilton,Woo,2012-04-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Childish Gambino,So Into You,Top Picks: Khayree Jones,GSDJ - https://proswingdjs.com/
Chris Brown,Fine China,2013-10-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Taylor Swift,Blank Space,2014-12-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Estelle,Dance With Me,2010-03-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Nick Jonas,Chains,2015-03-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Mya,Let’s Dance,Top Picks: Rob Baen,GSDJ - https://proswingdjs.com/
Liam Payne Ft Quavo,Strip That Down,2017-05-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Jay Sean,2012,2010-10-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
"Frances, Ritual",When It Comes To Us,Top Picks: Jalene Haramia,GSDJ - https://proswingdjs.com/
The Chainsmokers,Roses,2016-06-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Austin de Lone,Let’s Walk,2009-09-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Zayn,Rainberry,2018-12-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Justin Bieber,Boyfriend,2012-06-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Grace Gaustad,Sandman,Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
John Fogerty,Blue Boy,Top Picks: Rob Baen,GSDJ - https://proswingdjs.com/
Queen Latifah,California Dreamin’,Top Picks: Greg Wolf,GSDJ - https://proswingdjs.com/
Kiiara,Whippin (Clean),2017-04-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Frank Sinatra,Nice ‘N ‘Easy,Top Picks: Isabelle Roy,GSDJ - https://proswingdjs.com/
