Track Name,Artist Name(s),Index,Starting energy,Ending energy,BPM,Genres,Acousticness,Difficulty,Familiarity,Transition type,Notes,Set,DJ
Bonafide (feat. Chiiild),"Emotional Oranges,Chiiild","Bonafide (feat. Chiiild).Emotional Oranges,Chiiild",2,3,98,R&B,0.5,1,3,Rising,,2024-10-17,Connie Wang
How Deep Is Your Love (feat. Yebba) - Live,"PJ Morton,Yebba","How Deep Is Your Love (feat. Yebba) - Live.PJ Morton,Yebba",3,3,93,"Oldies, Covers",0.9,1,4,None,Fade out early,2024-10-17,Connie Wang
BILLIE EILISH.,Armani White,BILLIE EILISH..Armani White,3,4,100,Angry Cali Late Nite,0.4,2,4,Rising,"Clean version, very short",2024-10-17,Connie Wang
Na Na Na,Now United,Na Na Na.Now United,3,3,106,Pop,0.4,1,3,None,,2024-10-17,Connie Wang
Lazy,Toby Lightman,Lazy.Toby Lightman,3,2,105,Jazz blues,0.8,1,3,Falling,,2024-10-17,Connie Wang
Bound,Indiana,Bound.Indiana,2,2,90,Baddie pop,0.2,1,4,None,,2024-10-17,Connie Wang
Boo'd Up,William Singe,Boo'd Up.William Singe,2,3,86,"R&B, Singer Songwriter, Covers",0.7,2,4,Rising,End a few sec early,2024-10-17,Connie Wang
Selfish,Jordan Davis,Selfish.Jordan Davis,3,2,90,Country,0.8,1,3,Falling,,2024-10-17,Connie Wang
Wonderwall,TEEMID,Wonderwall.TEEMID,3,3,100,"Electropop, Covers",0.1,2,3,None,,2024-10-17,Connie Wang
So Hot You're Hurting My Feelings,Caroline Polachek,So Hot You're Hurting My Feelings.Caroline Polachek,3,4,112,Pop,0.4,2,3,Rising,,2024-10-17,Connie Wang
just the two of us,Avenue Beat,just the two of us.Avenue Beat,3,3,88,"Singer songwriter, Covers",0.6,1,3,None,,2024-07-07,Connie Wang
Pineapple Skies,Miguel,Pineapple Skies.Miguel,3,2,100,R&B,0.3,2,3,Falling,,2024-07-07,Connie Wang
Crush On You,Nic Hanson,Crush On You.Nic Hanson,2,2,90,Funk pop,0.4,1,4,None,,2024-07-07,Connie Wang
Genie in a Bottle,Oshri,Genie in a Bottle.Oshri,3,3,94,Covers,0.2,2,4,None,,2024-07-07,Connie Wang
Move On (C'est la vie),Faydee,Move On (C'est la vie).Faydee,4,4,101,Electropop,0.1,2,4,None,,2024-07-07,Connie Wang
Danger - Original Mix,Blahzay Blahzay,Danger - Original Mix.Blahzay Blahzay,3,3,90,"Hip hop, Oldies, Rap",0.8,1,2,None,Explicit,2024-07-07,Connie Wang
AFU,CAL,AFU.CAL,2,3,94,Pop,0.5,1,4,Rising,Explicit,2024-07-07,Connie Wang
False God,Taylor Swift,False God.Taylor Swift,2,2,80,Pop,0.4,1,4,None,,2024-07-07,Connie Wang
Little Bit - Recorded at Spotify Studios NYC,Timeflies,Little Bit - Recorded at Spotify Studios NYC.Timeflies,3,3,101,Singer songwriter,0.9,2,3,None,,2024-07-07,Connie Wang
Poison Poison,Reneé Rapp,Poison Poison.Reneé Rapp,3,3,111,Singer songwriter,0.5,2,3,None,"Explicit, fade out at 2:05",2024-07-07,Connie Wang
U Remind Me - Recorded at Spotify Studios NYC,James TW,U Remind Me - Recorded at Spotify Studios NYC.James TW,3,2,97,"Singer songwriter, Covers",0.9,2,5,Falling,,2024-07-07,Connie Wang
Ich kenne nichts (das so schön ist wie du) - Radio-Edit,"Xavier Naidoo,RZA","Ich kenne nichts (das so schön ist wie du) - Radio-Edit.Xavier Naidoo,RZA",2,2,88,"Late night, Non-english",0.2,2,2,None,"Fade in at 0:24, end at 5:25",2024-07-07,Connie Wang
shut up,Greyson Chance,shut up.Greyson Chance,2,3,105,Pop,0.4,1,4,Rising,,2024-07-07,Connie Wang
Momma Always Told Me (feat. Stanaj & Yung Bae) - Matoma Funk Remix,"Mike Posner,Matoma,Stanaj,Yung Bae","Momma Always Told Me (feat. Stanaj & Yung Bae) - Matoma Funk Remix.Mike Posner,Matoma,Stanaj,Yung Bae",3,4,108,Funk pop,0.3,1,3,Rising,Explicit,2024-07-07,Connie Wang
No Scrubs,TLC,No Scrubs.TLC,3,3,93,"Throwback, R&B",0.4,2,5,None,Explicit (lightly),2024-07-07,Connie Wang
唯一remix,李宜柏PAULYBLEE,唯一remix.李宜柏PAULYBLEE,2,2,95,"Singer songwriter, Non-english",0.8,1,4,None,Officially Missing You guitar riff,2024-07-07,Connie Wang
Do I Wanna Know,"A Girl Named Sue,JPL,Tora","Do I Wanna Know.A Girl Named Sue,JPL,Tora",2,3,90,"Pop, Covers",0.4,1,3,Rising,,2024-07-07,Connie Wang
BIRDS OF A FEATHER,Billie Eilish,BIRDS OF A FEATHER.Billie Eilish,3,3,105,Pop,0.2,2,4,None,,2024-07-07,Connie Wang
Like That,"GRACEY,Alexander 23","Like That.GRACEY,Alexander 23",3,4,114,Pop,0.4,2,2,Rising,,2024-07-07,Connie Wang
